a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
0.8729308623311396712504121677289969582477436035683941614560145337253962173188158 + 0.3956687457304319949318875651279815984950775303280442629692533727645747695044403im,0.3018426962116047091778996906496556688526913091936589223506917957284137368654906 - 0.2921979337267795365105142518486055537555762837328476846302324053115464498331647im,-0.6751210766001423227519393395459145113613482366190656417281375571265610263896727 - 0.5406106155428080075141762334230767765350242038679863998299627706204105553325744im,0.5472617307837398188075777585083897669108149551134147553837452619243122578297974im - 0.3360929100730041671348138166203024590016186618851745179305191990994236090196701,0.09195000588471058178769574617758797213541421756266197035552576648647744269854611 - 0.4596188240377961756567177699133033751975580156464546261704379941655139600039547im,0.2573110029014249922055932846341939280734167017494866198017165094787810962105937im - 0.7624977658844555858331793004624204450320749494858244931541308598566293860963709,-0.5755883740547826625306968711521385835659011399987252309254308127980016428696158 - 0.8586057937356585177288864552136632077037531720331354458046626855655570796441672im,1.01803817653886184977574390727119449133864612806657298077417163773672924143908im - 0.2554615242265286068983280049201485835766444244863913273870004916850293787938152,0.332355988156051248401367480178526946199848990583212683731651816362288353234656 - 0.2317250451385738115024158698887540245643974740794937184555206628350425413879159im,-14.61985306117592378791999989431636943272491779960064375099182476819850018421416 - 66.3514297748653814359164410441186104234727442942043550785948293865639115348797im
-2.568977944919786653837021790784718442094637314764360477213089584087137440503117 - 4.978618142776613602867979475036001305461889712088461450232611558531831243402446im,0.2130203745749294243150686800889776651536574648816249415997421163770146596685542im - 9.794168755670486987490887314574252513506649918078012208070731820462689132045606,-0.04033557128296139893310902612188278590582499019636045988605596682318096625824418 - 0.1568812747954375893119292302325290533823616128088677530994563326038254073299536im,3.173842944519712301010200258560481473489779429006347662422740659897397965747515 - 3.854347364283264523462195369429045019537668513583736920266902897072613890242534im,-5.057857774373595717269639932667152623254515347091220769869077606586128401854404 - 8.841160059796121313008397703384012683907598721724883734252463015786856949909528im,0.8194508578202533808328962738282725708151738817348222282772716353704284819162824im - 6.504388907677331350992646012010538563167932656002086302632686079663036760709658,10.8733277248089734952770595438518977406845612667600881524323070515097457402092im - 33.65972810441350001734831998688273887882839837140944694726514396035578853875805,84.03666846231711175151090491516102212083868243437285856712945484168774169547625 + 38.35654025638946887583639166581762459604672147522096553771544967679987900055273im,55.64075894207240079588244134382994500768224922549748620380833640731212206838853 - 63.29346824680377167069898557695010443629024461286179652675389025823724148406187im,1.104195774917632465852940448711234390446040861130768113124365025377235298874958e-09 - 5.985306948777440244439571361310687579882235534143607856061786350469387096593593e-10im
4.714109233450782423675946033235403514285359414338076744553347957440784744422865im - 3.027120814926755486153520474339811471208032661823001334684830119623451906295888,5.081565433740809116499118068994476418180300324686844585080674841599024920466355 + 8.375488764075001801264212556985240396939417178087667630970737902264139222282915im,0.1560309549924170152148673715364352726780779196045281711904716354150319980938367 + 0.04350900799051614115782716768241521320613732938052445029973933169385285342791543im,1.751041260219044845177537744272438778031340818155603228114320344245351524808377 + 4.675802299717707813097147305519483600335703492765102407661388279624337438540525im,10.18559809789458554969775396262075267679553714644878057687045123120145022295301 + 0.04034670856190524484368477007065604617873719253311576761042901648162212548959331im,2.54252919381337611780050985395776426670714860640471357220758094563987476838103 - 6.042691459052411400387766179749486374921764923695974968163710687220954548694334im,10.87332772480897349527705954385189774068456126676008815243230705150974574022288im - 33.65972810441350001734831998688273887882839837140944694726514396035578853876192,84.03666846231711175151090491516102212083868243437285856712945484168774169550499 + 38.35654025638946887583639166581762459604672147522096553771544967679987900054113im,55.64075894207240079588244134382994500768224922549748620380833640731212206837747 - 63.29346824680377167069898557695010443629024461286179652675389025823724148409835im,-1.070440674167695145762838472242649361817806068329122270653121013240894724712958e-09 - 6.569962443912417752628061941560247636129078104991290896464018205772829180890422e-10im
5.596098759846542139990542265124529913302669976587361811897919703710589346798659 + 0.26450890932583117919203344180059779117653029775038470567926360109104649898022im,4.712603321929677870991769245579776095326349593391167622990056978863664211581047 - 8.588509138649931225579281237074218062093074642969292572570480018641153881950158im,0.1133722668049214481541020625501138401762242834283433027997170009099725539020646im - 0.1156953837094556162817583454145524867722529294081677113044156685918510318356174,-4.924884204738757146187738002832920251521120247161950890537061004142749490555392 - 0.821454935434443289634951936090438580798034979181365487394485382551723548297956im,8.800813351234216068164712933313356637728861529191767966642033999305234824417999im - 5.127740323520989832428114029953600053541021799357559807001373624615321821096736,3.961859713863955233192136158052774296460784049597372730425105134023161992326796 + 5.223240601232158019554869905921213804106591041961152739886439051850526066775435im,10.87332772480897349527705954385189774068456126676008815243230705150974574020795im - 33.65972810441350001734831998688273887882839837140944694726514396035578853875252,84.03666846231711175151090491516102212083868243437285856712945484168774169546519 + 38.35654025638946887583639166581762459604672147522096553771544967679987900054168im,55.64075894207240079588244134382994500768224922549748620380833640731212206837029 - 63.2934682468037716706989855769501044362902446128617965267538902582372414840464im,1.255526939268985799706763330287093521601131363913489875252580455624221627747967e-09im - 3.375510074993732009010197646858502862823479280164584247124401213634057415943912e-11
-1.510969602006381360575041090208976504417802773309344109930119966872906401081886 - 1.206825750735821414834630660262145166443973012626119253167075441795013808619175im,2.123796751666640728941019828077687867239335088744947465946160884242204032073876 + 0.8815765617122266885465395135984335372342031597644601025693408576401501623535841im,0.7430708819372760291190191669152038618806479598755803918283707742654054673161463 - 0.4743605966305655689733684676941479998456800581900133207661182447652754560511009im,-0.1240509791018915234978290924467172401214851099714812106802068277987789586781312 - 1.48524289251095041192544703870985215350396075409068911067749530315074156112123im,0.05624550991380959952821966781178952097773280035383508229578998689639101394149952 - 0.08813903018644363876098085784561329664567924644764144991720640344570957311233933im,0.09612631410474204626666931795747547007905921165899277447062997218256504917016763im - 1.88919707220379075686884293779611088344875418730826555410381663957303465509371,0.656052041602415469569352742069817345185763777375160402979729780534396621489367 - 1.172236795617838904603458175856863641663987716952532850749985724994668783443651im,-0.3995705460666067119801780999050132641441570607688000937715613211677004339806607 - 1.632058475950578088194335827921879940004245886911845291086584507490369696552913im,-0.8790937709868571536056778376413394466077184163170817459489509522262518111010643 - 0.0783378677786843801789452368674476405602094608322187920804453550010020923943216im,44.82788211246067311762854487198528101827591265161390800243116043289490986652609 - 32.55336159499677072938874517382382839067739753336865188760912908215076135105176im
1.911950935051499683680010775225599447279111186742187941440161718359163357551086im - 0.2896569570752573658174926940541282286167943781502813350449063176423445687930008,-0.2984306780095921514064825553384920991862361917147905466911383504546946702779664 - 2.280050220274295053089200902637766788374460633714366170162513118989194411841547im,0.0392728862677747589274893361233539546701973730992435766886439110347813523013233 + 0.8806985588854711954031256580972348033965664806265087095346407316816186772355534im,1.348283565255709198866393716387880282683423945348094679555689215523966799366622 + 0.6351901469889046390868294201174164675476513149351058433321591860861924694581867im,0.04820788424947887919717582933119464010552068403623076502607991252800804672174108 + 0.09277955552739042476050985473974704508763674948942555222348794406765561628010035im,0.8613507061150263678505760809926358884979747623377152043136132381044153076693296 - 1.684155814336038206267878817873471744645408502091206805818955869149379870119181im,0.6560520416024154695693527420698173451857637773751604029797297805343966215685779 - 1.172236795617838904603458175856863641663987716952532850749985724994668783479128im,-0.3995705460666067119801780999050132641441570607688000937715613211677004339156736 - 1.63205847595057808819433582792187994000424588691184529108658450749036969657224im,-0.8790937709868571536056778376413394466077184163170817459489509522262518111574671 - 0.0783378677786843801789452368674476405602094608322187920804453550010020925177454im,-50.60597917607825263062118816014965993368397480021612018622396736243414562714158 - 22.5454039097465835752335168038611529235034785398562084255892362329645692346247im
1.800626559081638726392533784263104733034597151459625444975026284515250969704711 - 0.7051251843156782688453801149634542808351381741160686882730862765641495490895301im,1.398473658562068364542661389039333251140257473949906067593172261349044249614828im - 1.825366073657048577534537272739195768053098897030156919255022533787509361680686,-0.7823437682050507880465085030385578165508453329748239685170146853001868196093089 - 0.4063379622549056264297571904030868035508864224364953887685224869163432211829757im,0.8500527455220457728386176185924356859563094391555832673453361170645490916814647im - 1.224232586153817675368564623941163042561938835376613468875482387725187840688018,-0.1044533941632884787253954971429841610832534843900658473218698994243990606408449 - 0.004640525340946785999528996894133748441957503041784102306281540621946043188973067im,1.027846366088764389018266856803474994950779424970550349790203401468619347446843 + 1.5880295002312961600012094999159962745663492904322140313483258969668148209459im,0.6560520416024154695693527420698173451857637773751604029797297805343966215369695 - 1.172236795617838904603458175856863641663987716952532850749985724994668783408502im,-0.3995705460666067119801780999050132641441570607688000937715613211677004339470358 - 1.632058475950578088194335827921879940004245886911845291086584507490369696520751im,-0.8790937709868571536056778376413394466077184163170817459489509522262518110464751 - 0.07833786777868438017894523686744764056020946083221879208044535500100209246896185im,5.778097063617579512992643288164378915408062148602212183792806929539232118913442 + 55.09876550474335430462226197768498131418087607322486031319836531511532841574142im
-1.154926336363245213689717154512152904627315503714500432108724241276110509078833 - 1.98567694645583542168996131522934391820784847731123093782860218972924325334335im,2.745445070699764286137434906926214890435309999970009707251008250572462414516744 - 1.36327104361789177067032692722756055483242969398211608238994662951696608913557im,-0.6266393019381175238953825545867246622031889979338920893149022633243298449260982 - 0.2579402908329679960162463708014987589269539132361404500207164045283694474245728im,1.767235502569532974310547017294886608714273479214701427780309590926705841308718 - 0.6376234352861681676847191031925384813134723757069086427900333563048758077681998im,0.8893494634321491182737320018776492710798045296599534434113745425038799004214919 + 1.05612548346634378624491667551127303901073113482804125562301701722163082338858im,0.1892814704211922421759706223606248148510120257284192263951840198627277843066675 + 0.115804660930013406860622363957493904122786382259207747573773299643584280034194im,1.309400662737275976905415754590250825549339600211229971144634590704579363559133im - 0.02683970481831479277266281486903862255857092978569166106495720462287126644113747,1.331288383224416821617927189311754584695977575339001678042585562916802797162984 - 1.139869053259937088402469882806523395833593632587463459305052736617108703506375im,2.394271445951082235831007627909558168132171963897857892817954101163697682943255 + 4.177483406995613116570889708750582401992096793765288824109877391548491051023119im,0.0001903619103546126509218334753145707049251887851501273083125280788683733471676632im - 0.0001499374576635902244219865574060671494740059764169696599307590266680371343256244
-2.97497380384719302352815668164378882747634562858365943547216170839783694413343 - 4.457669045732950074598531324843851656519392688264488943576070133367428633759697im,2.651454335100104335468591259122664287828709647579654996267650041313917279685016 + 5.98559530469200789891454832016652279476530377359388783408739034493747254924855im,-8.268583451112663998119919715084617486573428699334152158348292325319811511754397 - 5.401526705690274914852393773420701631329588822255682176917920635679201541677039im,28.79200621362638685481673401483024916475944030661136232830715859776962263138863 + 14.64402964899100262714485251175170904776526985643606211049100550482321882983589im,-35.39784987689024521963440542539441745907346070015876956969536792857043067015866 - 9.723443663955572193891958386354534470985267767285528825536809635039955195229306im,15.98473176668610574087052215885322021279064626641681883312494031463441487247641 + 1.083057994920740603176501153166047055262880735887132529696939512162912105801756im,0.3494869523884823742902691291283060853188894387584531510650501202747104768480193im - 3.233508068705941778338265169085688256623156194363066541237366139826623411044871,3.402147815345584690577108024216078206378895044859704059975809460709119960520375 - 0.9296676210148889970028486032416817583887068416523487488133348659394184612026092im,0.5083920120375161992736516077785528392960670820800957923194477775056719166210149im - 1.241830199678639477127527615548702398328208198540096458973352643521674159667665,-3.49205366957817947778293943525788636047170263809223137100979534435493344310298e-07 - 1.601535078102063603343383850709242469288848221827554506268545426384680030034662e-07im
1.993034020018179553827007716493224569518291170798509628145232379504884801638087im - 1.14218351115824342271360264244739735271172842820856076528905678105786593948829,-2.553349891366699934401658556743801683027028255960267146315393648637962723863645 - 1.695989654111814188595873298702911504964685893463171202623451262561907336568925im,0.5367024954899554090706180388502242604886048244375394675478042083888101215449317 - 0.4137154090716729977060386621023405449395124834508071410932593463856534357657337im,1.849282557338059239589892348109602094733807464129842742479643493765783984937115im - 0.3314196582786418146896248986332926052523821232293609230526963925507686273793072,0.2421364864411288997814034428130150313836126895176149925496656416555792578123441im - 1.359306229982050418619187430748264717041898784087856479069512993699762694143412,0.1060202313854185883552551100803474956069283899357686246588932864937222254629458im - 0.1949305134526309880687302792304459651725595767917316057349028903438784364411739,1.309400662737275976905415754590250825549339600211229971144634590704579363559167im - 0.0268397048183147927726628148690386225585709297856916610649572046228712664411094,1.33128838322441682161792718931175458469597757533900167804258556291680279716288 - 1.139869053259937088402469882806523395833593632587463459305052736617108703506013im,2.394271445951082235831007627909558168132171963897857892817954101163697682942875 + 4.177483406995613116570889708750582401992096793765288824109877391548491051023948im,0.0002398269791118256454884019651714298925999233729737970360553871073825134793251376 + 3.466869213821657345981436250677710993670908248037456316777088288505663674932455e-05im
4.805237412591367750766444147147805993573217903898056480304669476285725873970761im - 2.372967733344674880924287384862180958117252556026902341830647351487958409309988,3.857950423086084044690253290162954371247161473241577861965008996065971347337272 - 5.289024463517072102505241330390225524650630047955279032272977718232178510931337im,8.812151071904181024845585712834678322426489019031188203099174310403570173695945 - 4.460039969130034592992931937930606031360076802195513947494701118401259801300029im,17.61259398242435684563393024253494203173388487639015650925255653918675261274494im - 27.07810479661191782197788876642782721903233813763915721971824691993366067566524,26.11967416369748858276468739430467835015035576302375701038180696918591802365705 - 25.79371540075703036192993907452835499597908169028582012889028401800890078361562im,13.30165478516990775309010366972826179019770309959256795840236152886258638289178im - 8.930321620716251752261910692790384062332816990038468102335895084984701961175487,0.3494869523884823742902691291283060853188894387584531510650501202747104770381488im - 3.233508068705941778338265169085688256623156194363066541237366139826623411179664,3.402147815345584690577108024216078206378895044859704059975809460709119960620623 - 0.9296676210148889970028486032416817583887068416523487488133348659394184615329081im,0.508392012037516199273651607778552839296067082080095792319447777505671916791346im - 1.241830199678639477127527615548702398328208198540096458973352643521674159685525,3.590567721008076222633671002020552259478629022242489149695309917032339192718114e-08 + 3.824974728284405378915192397965134127444666722231101151638382574504797963598925e-07im
2.297109847521488636403319796959550257339043931923061197397781022333976448567019 - 0.007357073562344132137046401263880651310442693487278690316630189775641548294813016im,3.059260697729705959266200225930472059797115587445287285013397892078873425704374im - 0.1920951793330643517357763501824132074082817440097425609356146019344996906532461,0.08993680644816211482476451573650040171458417349635262176709805493551972338111786 + 0.6716556999046409937222850329038393038664663966869475911139757509140228831902676im,-1.435815844290891159620922118661594003461891355985340504727613198375937213929436 - 1.211659122051891071905173244917063613420335088422934099689610137460908177169036im,0.4699567665499013003454554288706154459620942544279030356581384511958827937218681 - 1.298261969907472686026320118324288070394343824345656248172682658877210081201112im,0.005649043031438745892759656869821150321547551063312379339718870481150652134379375 - 0.2218248923154319952158774740378413997297147721949763722326665861373065054973999im,1.309400662737275976905415754590250825549339600211229971144634590704579363559133im - 0.02683970481831479277266281486903862255857092978569166106495720462287126644104976,1.331288383224416821617927189311754584695977575339001678042585562916802797162897 - 1.139869053259937088402469882806523395833593632587463459305052736617108703506151im,2.394271445951082235831007627909558168132171963897857892817954101163697682943013 + 4.17748340699561311657088970875058240199209679376528882410987739154849105102381im,-8.988952144823542106641540776536274312591739655682737612462808071447634500070445e-05 - 0.0002250306024928292243816478378213478148618978676305018714802989617534299839207118im
5.34794153719186790445244406650596978559359818461056177730280905988579535260792 - 0.3475683668584176761679128223039543370538252156335675367285993429182972401875694im,-6.509404758186188380158844549285618659075871120821232858232659037379888626408118 - 0.696570841174935796409306989776297270114673725638608801814412626705294038857475im,9.861566674820309507845325711351307662689665624451196124412621754080461343178395im - 0.543567620791517026725665997750060835853060319697036044750881985083758663255645,-1.713901417014469032838845248402421945727102168972205108588911677835961951378673 - 32.25662363141535947277878275428665107949915473282621861974356204400997144427822im,9.27817571319275663686971803108973910892310493713501255931356095938451264172367 + 35.51715906471260255582189746088288946696434945757134895442709365304885598291166im,-7.054410145969853988608611466062836150457829276378350730789045229649712909699846 - 14.38471278009064835626660482289430884546058383547970048809930104102549849093609im,0.3494869523884823742902691291283060853188894387584531510650501202747104768100504im - 3.233508068705941778338265169085688256623156194363066541237366139826623411336497,3.402147815345584690577108024216078206378895044859704059975809460709119961039754 - 0.9296676210148889970028486032416817583887068416523487488133348659394184612394165im,0.5083920120375161992736516077785528392960670820800957923194477775056719166708801im - 1.241830199678639477127527615548702398328208198540096458973352643521674159917717,3.132996897477371855519572335055831134523839735867982456040264352651699373897384e-07 - 2.223439650182341775571808547255891658155818500403546645369837148120118127333814e-07im
-1.995016472308855784701311935978878252419935976626270383728607192724812389920176 - 3.480851488498391140486332343834436619236083353444728282801719642039872609197663im,3.248067293372392081953813674441911325876213230279193983335626267607302467584106 + 3.779280373630998582668518894772118392091705288280238970933385910565473620186466im,-0.477131118461871760360415005824827841237241377415690269297749618986312727560986 - 0.7207183912752193487980705558082838198482043710571397824055040306599492293064057im,3.670369963090463150527020994272642941565069509167473870115779426290876621834015 + 1.490460203726297717828364402257632981259146953481431833427973678839012343215864im,1.272008014899492766909948715911307867268479680343998729638900394247157797057301im - 2.186790526578881920008858512833806653885371840321572074176495209345909309824871,-1.225239801815380039216824948960474003134502259339100817930341688739319082222762 - 3.22804694861920557455827989289723782682418763657299916527196890217831465018041im,1.068714157126560160569265356749916101736106814354731488294920102244861949623974im - 3.20739700906513681801490058213306556502416282679898765535137718846769480820037,-0.6654323608195871380857712988501947308976541913835993939479029985707543449631094 - 3.742784214778152689082544232970843810920407760478554705197710051854658130041509im,0.4002718564391868073780822400897307877655617399864853970935029966708370438222304 + 3.247494188883827748879892472079687913681956388677238334348336517484438564171792im,-0.0001586446794521349965058174606831659846230049853822342520919614998402784906338783 - 3.827474280252474026223102953414645316813972107032638236951123564743031251804443e-05im
4.012014051994911375865131007188154846658213178198613382324437710262827639648021 + 0.01269079826131237701903563643597877450748642410263690785985584456663655773984904im,0.9232686024463553027243493380716491561946208921091819820249502591842563266606455im - 4.896986458274585743856638350409313703864703659197821659571725783290455298650466,0.7735668651616729946945754855501917160105741406430182041274134175833162287350104im - 0.3855948765880569998256997301327150778083283324320597536822073325139091599479197,-0.5444085817885279072169808018032132034265817948500128385804770618177507813904294 - 3.923863731186842381274894695443339187160463928040424997842012309045625010259596im,2.194986518009816433843570584347148717009842814091818959445295324354231438346456 + 1.257812141322715044035378839448160093772419789729744558357029460137069282637006im,2.675112268409532869437155663566382084950775581114136405807128812419633003032935im - 2.182950761205382561702883858193839506111516883158496505689234116043864186732901,1.068714157126560160569265356749916101736106814354731488294920102244861949624906im - 3.207397009065136818014900582133065565024162826798987655351377188467694808198194,-0.6654323608195871380857712988501947308976541913835993939479029985707543449655275 - 3.742784214778152689082544232970843810920407760478554705197710051854658130039851im,0.4002718564391868073780822400897307877655617399864853970935029966708370438217123 + 3.247494188883827748879892472079687913681956388677238334348336517484438564165297im,0.0001124692393163695233052197439387005878299934040257953471600602647032753519270129 - 0.0001182529511795256770939360595480081528205172035947969206335440943645509863299593im
3.468160690237078763467296707398457844728596929342091374941863797473236051458041im - 2.016997579686055591163819071209276594238277201572342998595830517538015249726481,1.648919164902193661902824675967402377988490428918627676236099515683152831066895 - 4.702548976077353885392868232843767548286326180389420952958336169749729946847172im,0.8627259950499287601861147359575429190455697098477500229799569515002218875091951 - 0.05284847388645364589650492974190789616236976958587842172190938692336699942833542im,2.433403527460544663446530293185706205901316974558993164414038630206612667044336im - 3.125961381301935243310040192469429738138487714317461031535302364473125840444113,-0.008195991430934513834712071513342063124470973770246885268800115008322128523723721 - 2.529820156222207810945327555359467961040899470073743287995929854384227079695775im,3.408190563020762600919708807154313509246019142497597323619575804783183268955248 + 0.5529346802096727051211242293308557418734120554588627594648400897586816471457311im,1.068714157126560160569265356749916101736106814354731488294920102244861949624302im - 3.207397009065136818014900582133065565024162826798987655351377188467694808198056,-0.6654323608195871380857712988501947308976541913835993939479029985707543449644394 - 3.742784214778152689082544232970843810920407760478554705197710051854658130039679im,0.4002718564391868073780822400897307877655617399864853970935029966708370438212675 + 3.247494188883827748879892472079687913681956388677238334348336517484438564166783im,4.617544013576547320059771674446539679301158135643890493190123513700313873618585e-05 + 0.0001565276939820504173561670890821546059886569246651233030030553300119812986241443im
1.336094297607771019664469174612516609552980001481179151504037645398531140175924im - 4.529631500751757344722211757369813249590792219514976862648143929321572125828914,4.277513952140119092474416172113587652453726604744714796090224044241995455259543 - 1.557037477816130232733776134748065233847338563882863164646048739210545145287384im,0.2196668857286278736252710367824604897959045868662555019111472157464486871970151 + 0.02108681413884483933376904317200918665241112942624323295821376745157850527301661im,-0.07890459887683436641184083310572784151761731275502391163128891806894277795458136 - 0.02156490971700778380475502862226534176860452768212906555076376944394350602782193im,0.1203329469379868001335266151770392479608273091982624068839956376466557914444798im - 1.018741770920804455043971510402481278972803343214796174157469246874712380280751,2.149210737919022619420465593876944514603009230326478265002691327645371081832289 - 0.396099555501338904423235027650905384853010088308623993376697686575848950281259im,-1.414529834815298386638634377786886522780043582828305285000580493168682302818609 - 6.156273105405137968214929643290949405393586508429805635470407417035041796389733im,6.372988227347411682499042805059473979215201874557326094015786383682184736112755im - 0.4326262565764105659452206987273198160520102086642939600213516271784864960803938,0.1061820263275470269309381893816852090903720595226027314613158804098199781708883 + 0.6518254841921903377849652301120872827897972024241237091333340755782289131597904im,-0.5820455379873879934462602138054840149969465821913590032067355608517290629610377 - 0.2538486268718493632749024708507227643884177278790726031910243338686057786090771im
1.107724146796022836360295925822464944550322611501672900822254809444568180852563 - 4.590823098237138972041538993244749038454452571311152880716451743334803823406206im,4.4829544865037817220247789416661746044611589871418351587383683738265732878319im - 0.7903229656368414294749699809855805844599537327514135771321310513157017635767011,-0.09157172613519342492650434094300083421162986603837863390498891103544418310417031 - 0.2007805104806275171400092053023200717809439057595779678093267401845117242920906im,0.02077653979317055268627911924865329198530773985263067347531227948526154283970545 + 0.0791158419612635382048199773689531773495442483138357707766292330554701895530678im,0.6135822744209436761734288671653023099924217443375883307578550131182581749938414 + 0.822089780044770375379682217839866938220973976200570920340596049973928626372743im,-1.417637646451395000754125944157760807488288767459713856651056007429141230054136 - 1.663221319373503456001367829160799537081629043220817424354677083707094334061504im,-1.414529834815298386638634377786886522780043582828305285000580493168682302802788 - 6.156273105405137968214929643290949405393586508429805635470407417035041796389042im,6.372988227347411682499042805059473979215201874557326094015786383682184736110544im - 0.4326262565764105659452206987273198160520102086642939600213516271784864960942894,0.1061820263275470269309381893816852090903720595226027314613158804098199781688318 + 0.6518254841921903377849652301120872827897972024241237091333340755782289131602913im,0.5108621285805126442547537272561093581645587315905224146953857492682163620619972 - 0.3771419086205338284778974915283668357383245204146141079688389038172665727705161im
3.421907353955734508361915831547348305040469608013303961825889119877003944979494 + 3.25472880062936795237706981863223242890147256982997372921241409793627268323049im,-3.487190986503277662999446191128007067993772871993301218958092992926293691685865 - 2.925917008687651489291002806918109370613820423258971994092319634616028142545im,0.1796936963417826778062401621303108851285327763333347348511129727329332190193768im - 0.1280951595934344486987666958394596555842747208278768680061583047110045040931158,0.05812805908366381372556171385707454953230957290239323815597663858368123511441171 - 0.05755093224425575440006494874668783558093972063170670522586546361152668352546528im,0.4051594964998607788705426432371789689803815988772078433996142337564542052860117 - 0.9424227269827571755132088330169061861818012853988333272245916876205844178166658im,2.059320874874842360424602856811704921934639131529441417731374770282943284340928im - 0.7315730914676276186663396497191837071147204628667644083516353202162298517762357,-1.414529834815298386638634377786886522780043582828305285000580493168682302815293 - 6.156273105405137968214929643290949405393586508429805635470407417035041796379162im,6.372988227347411682499042805059473979215201874557326094015786383682184736101286im - 0.4326262565764105659452206987273198160520102086642939600213516271784864960816461,0.1061820263275470269309381893816852090903720595226027314613158804098199781710675 + 0.6518254841921903377849652301120872827897972024241237091333340755782289131584691im,0.07118340940687534919150648654937465683238785060083658851134981158351251175287868 + 0.6309905354923831917527999623790896001267422482936867111598632376858727942528701im
2.732651221807425618617047977739818941877055387651886058530603719388428208407883im - 1.061407949844926736608474690480062710215127507344990824645557185066208994972836,-0.2696557380088769857483485726082332098497819770261564761255607303486794594959048 - 2.253222275841739201942664043479338536781401046364928454796415569493451537829007im,0.3228132632530218230312960311842985076360207819431992220861325935031895332456761 + 0.06766552078517701225010110741251380135243225948654649711098439242692457355715419im,0.6389347756266070380879453169707515191301843199145826819472230741949581953204312 + 1.657733147448518575561925297062223666014659058011813125613202645501583688122003im,-1.26448880657249195869991412495941523875605599027512517422132686216677274663115 - 1.365587530300280429723780525473982059592380844929843305139134566565882192514257im,0.3533976499451801730594523518917361665815457757832217569777414875386576479056859 + 0.7809029991302148079834465400771574978459412022948627679428136793338372586741025im,0.9441396741963659049080043282998013844523304460317443332573073258474106687161066im - 5.018529378454835395974259695265919022117679515546328773037911949077984155584057,7.743082423727540317811789137912281311260983766970506123311335956462024597609605 + 0.5790659232904032264771270326936138301973794718761737520527906703469909319834919im,2.298604700130308027035330846883004969785523042089629883164568332855598910725757im - 6.311595340181262371663896617516681894866784112983501364055535547580900437805916,0.007701084983549780072787269899924480213741833024476581459947602782944983616325313 + 0.005216367773364517859262283232857936493719015789711815867874911815631132698591448im
0.2999673320244185100573777135655597588896827196695749875350123991207055469873438 + 0.02546307411474312978732881494750924466490965810620239295024730500338493442524369im,-0.772681526417658619492718907070404719713581925672160110545944993182976977295812 - 0.9872339659187754342569871589180242327705692389170453637520621789218491454778579im,0.5945290916610903351023031499560753702238314696187277439562231895854291476729298 - 0.608408106748130302691309336594570712240657571732120697057662047184227087766839im,0.3111701856201751641576377988316737998411953365581395618745424910439507330354865im - 0.9746826928885515897021305827078986007525777359426281921266312339942434394753073,0.521137564715178875183217578533577348612805546601058030247179812753829052564231 + 0.3608708042625648775931498403312526831881396300833145858638582896445792259700035im,0.381566939741943358309268245738573318790261932243102785876194440480912169169859 - 1.14299959859423042730742947829335093272436239947623128935280519455597970796674im,-0.651580241749947715296474177811175141483047203036123423631767803457602687259788 - 1.071132741908219336654792271149493680993602068688554474289405354947034235385464im,0.2581397881853009294834328634867545867665919192772230671467524149921171416222602 + 1.320028952152578640728757763403430431376897135782713088951989441717081002539678im,0.2664353289738222343522746783102253739797475483901817189933001358950151971913921 - 0.351740038149466263281730893256618001287856444643595839424107115574970582472941im,-37.66591620747414485611969237200771917999318236907896336499086568999897417751398 - 3.145554815699739594049651597499105003310058819377697426147401861998251607673066im
3.623345478988723680586362378969216451611566028911317050883335735266547531248643im - 1.997659373351633621569102704253224831362700376387891024079377070245121725689955,2.474441152604267344360794749749257246717829268689419121871081164570166573902979 - 3.171466088213304242323788220963304291162509241763455818195356497448226258986953im,0.2533012697068109125992947805756328768660903027460207807555742813014616412003499im - 0.1971857866401252172030833268494574556726337506071808262293933984841392515053389,3.149447744775216403213005102223346317408830728546264552846164743792194784098459 + 0.346367995097710953599020759632983714136357444862662579493987747307564240579366im,2.397843512069199866172967089248847773074630640267932006597651423159317013620933im - 1.737731007718463164948693063590494097427938957236506818688035430931867356249895,-2.528103594325899887627818756052162877695423077592190957224585100609513582969273 - 1.384482479489220008892986660317419871271213352666199124978567397007427357052578im,4.785714482572333925246670291996996434388557056016884275448978022731364155055903im - 4.625414708208509998883532841413463763762707663667792655518496060927483634310076,-8.971926575263502473474024362391201963320399394181413770035350099434021616567563 - 9.485049921105898875996462394425705711365136337422518367235965648359931113985486im,8.538712124689825202950369057429273480735354713814286839977378590784112039258581 - 1.34544018689650345590510956645060114596476891626595462550908096530581161732031im,0.003334413769726344942870307750114718500779920364342648463879500808604507880480134im - 0.002359191909349754124593254017695729643232422268619031471046337671492506873805682
