a1,a2,a3,a4,a5,a6,b1,b2,b3,b4,b5
-1.3857038697651893 - 1.4667297930355303im,-2.0040548544376846 - 0.15508644764510857im,-0.12096249508879699 + 0.2920292961818626im,0.8552823967882452 - 1.9368151254270922im,-0.6679306025832654 - 3.4806446512549196im,-3.689827104709783 - 1.38666346684484im,0.02917753330404689 - 0.012085730011128885im,3.739582799465032 - 3.620656888303548im,-2.5921270711905673 - 10.978622925701961im,-11.609902672698768 - 3.4504904060654433im,-115.73019139122216 + 213.28885707255793im
-2.1909648396007633 + 0.7767512772276681im,2.0 - 4.196984381691984im,-0.11315412947760087 - 0.11315412947760087im,-3.236839754417518 + 2.0im,6.131085234380988 - 8.959512359127178im,-6.909462274875315e-24 + 7.113775927018013im,0.0028976185896172776 - 0.0028976185896172776im,-21.72050280438523 + 4.899991007924684im,47.57559181722228 - 46.19608451525032im,-15.894027718047818 + 51.38801946779437im,-6.157847504048435e-5 + 0.0006439577187501421im
2.2025968161679104 - 0.9123454736965473im,-3.5898055516459233e-28 + 5.583145673751802im,0.11020737219536347 + 0.04564938823681909im,-0.5244808511234966 + 0.5244808511234966im,0.11600704964839825 + 0.28006579259205205im,0.033713790320209845 + 5.6016115112884604e-30im,0.0006495694093598633 + 0.0015681992777792629im,-13.413787208070916 + 32.38374700051154im,-24.30952930734948 - 24.30952930734948im,-11.930335338770414 + 4.941706700977719im,-5.3699160003125016e-5 + 9.300932862282404e-32im
0.7602848729646849 - 0.8158783266632261im,-8.934916500324482 + 0.7792043751942577im,0.018773202997577666 + 0.15520506745930274im,-3.711695918078427 + 2.0562445877726137im,5.542248750521695 + 9.870316263084717im,3.331057103194342 - 7.189516816328579im,-0.0013500449642858854 - 0.0035745765674121506im,2.8602373233368725 - 31.458694965395072im,-31.249160390203738 - 43.98483655542282im,-53.509008521832 + 72.97639804862156im,-2.032277862616887e-9 + 5.133003853591698e-9im
2.1909648396007633 - 0.7767512772276681im,2.0 - 4.196984381691984im,0.11315412947760087 + 0.11315412947760087im,-3.236839754417518 + 2.0im,-6.131085234380988 + 8.959512359127178im,-2.8454528395683984e-25 + 7.113775927018013im,-0.0028976185896172776 + 0.0028976185896172776im,21.72050280438523 - 4.899991007924684im,47.57559181722228 - 46.19608451525032im,15.894027718047818 - 51.38801946779437im,-6.157847504048435e-5 + 0.0006439577187501421im
-0.08379307604708998 - 0.2990765852296831im,0.46852135489290775 + 2.1950634737208823im,-0.3710903097988052 - 0.3710903097988052im,0.4536107955780705 - 0.7657393225535462im,-0.16447999713070746 + 0.9302193196842536im,-3.860175967285341e-33 - 0.2671251729731635im,0.10220422214252099 - 0.10220422214252099im,-2.2960743068572373 + 0.316448961236797im,-1.7100935398000765 - 1.9281104669650784im,2.1258912967592676 + 0.8740159399303016im,0.09260838318545579 - 0.010103971574151646im
0.7767512772276681 + 0.7767512772276681im,-2.1969843816919843 + 4.9027251239570214e-31im,-1.3707039289366147 + 1.3707039289366147im,7.928759498253284e-30 - 5.433824136109502im,6.131085234380988 + 6.131085234380988im,-7.113775927018013 - 3.2912941992207575e-30im,5.150637299165501 + 5.150637299165501im,-2.221199011819162 + 2.221199011819162im,-1.595742078941503e-30 - 3.8066348660516423im,2.155452856788255 + 2.155452856788255im,4.0252453444940396e-5 + 7.578011282921891e-35im
1.0415994742167116 - 2.079303801480342im,3.4131665507572917 + 0.8666178575193689im,0.0771521061851809 + 0.10261572120017518im,1.9997510803327856 + 0.5673125687772895im,5.700389481885668 + 1.8488650296786269im,-5.456811335185994 + 6.645532305924823im,-0.001977987988238222 + 0.0007519019439290414im,21.396215752850576 + 20.505080662510775im,-28.763669865096922 + 23.253278740753444im,-18.214277544710047 + 19.23006325324678im,-2.323006878189965e-6 - 2.154742687919905e-7im
0.164950160206127 + 0.5475026904589024im,-0.6645568657410008 + 2.079591795049812im,0.004596455473850611 - 0.4441697503714161im,-0.17111879176696712 + 0.5383861209355182im,1.3556805312389182 - 0.6339209127791943im,-0.02664168302838731 + 1.415150541527671im,-0.002720362411119048 + 0.087600661654534im,-1.9911724363556929 + 0.6718387776911023im,2.0559232867971673 + 0.25783813790979526im,-3.0479803307586426 + 0.12237800236693715im,-0.4007801650899748 - 0.14864856347624172im
0.7681014514928955 - 0.31815803848681734im,7.545810163619449e-31 + 1.17157287525381im,0.29775876775364973 + 0.12333571991906232im,-3.4329241374777135e-30 + 2.4419174068297994e-30im,-0.6363160769736347 - 1.536202902985791im,-1.6568542494923801 - 1.509162032861643e-30im,0.012811125874522449 + 0.030928793835540973im,-0.7474195350107997 + 1.804430378205665im,2.9786768875351095 + 2.9786768875351095im,-1.7957512397291654e-29 + 4.183798373578457e-30im,27.339866892679407 + 7.62222335794621e-27im
1.2766828325169703 - 1.2766828325169703im,-0.8326769812465379 - 2.327828081355257e-30im,0.13076965236206253 + 0.13076965236206253im,-1.2126583915801097e-30 + 1.17833245063583im,0.7021238003902873 - 0.7021238003902873im,-1.1402902778432442 - 1.3131187086713796e-30im,-0.004472505705854586 + 0.004472505705854586im,4.441717877785754 + 4.441717877785754im,1.9067378195460893e-29 - 6.065331570844837im,-8.870688103988892 + 8.870688103988892im,1.3228641199181368 + 1.5087485089824945e-29im
0.6146341324317764 - 1.4838580584142156im,1.3742485537052357e-32 + 1.17157287525381im,0.8892219908772516 + 2.1467717903362655im,1.9599646276258656e-31 + 1.6680594981386713e-31im,-2.967716116828431 - 1.229268264863553im,-1.6568542494923801 - 2.748497107410331e-32im,-11.591161250729613 - 4.801216193705693im,-0.2502757714305589 + 0.1036676188599263im,-0.7981340665282828 + 0.7981340665282828im,-2.293165433463435e-32 + 3.877801777954077e-32im,-0.0018309203876176875 - 4.427382473369071e-33im
2.098492190845992 + 2.098492190845992im,-2.0 - 2.9582283945787943e-30im,0.8892219908772516 - 0.8892219908772516im,-4.6345578181734444e-30 + 4.733165431326071e-30im,1.0281247640798803e-30 + 4.406265556347113e-31im,3.41678222244056e-46 - 2.1937092215619052e-46im,-1.406243665193733 - 1.406243665193733im,-1.2084383234420883 + 1.2084383234420883im,-4.141519752410312e-30 - 2.7250001545328533im,3.944304526105059e-31 + 5.5220263365470826e-30im,-2.6943364829287446e-5 + 2.8888949165808538e-34im
