a1,a2,a3,a4,a5,a6,b1,b2,b3,b4,b5
-0.922970586907244 - 1.6480192131104514im,-0.9877095053630363 + 0.700208765536615im,-0.08784740048067635 + 0.19185003315462296im,0.57620550376781 - 1.2127054588477986im,-1.8326497983160248 + 0.01653677661789367im,0.24524921540849454 + 0.6089308781660877im,0.00902211601340962 - 0.00261970029033439im,1.130166041046096 - 1.494384619052717im,10.845994372034074 + 3.1888935926157846im,-0.439600248852044 - 11.095720423437621im,-0.0016679401519562025 + 0.0011603516181994233im
-1.647119211201875 + 0.711676474609222im,0.4801272376649033 - 1.8875250680441273im,-0.14580654130007306 - 0.1478074637990753im,-1.5932534336204833 + 1.195951688150883im,-0.3596030449161083 - 1.5796279291885638im,0.6048508128598573 - 2.5819562184016633im,0.006456545711287799 - 0.006197802873024936im,-8.55150422635117 + 2.68145246521753im,-1.8271190683077214 - 2.8096273377739696im,15.9927539222031 - 13.539697175480912im,-0.0008679425382694002 + 9.114667410068568e-5im
-0.9123454736965473 - 2.2025968161679104im,-3.155685958954131e-23 + 5.583145673751802im,-0.04564938823681909 + 0.11020737219536347im,0.5244808511234966 - 0.5244808511234966im,0.28006579259205205 - 0.11600704964839825im,0.033713790320209845 + 4.724708842422102e-25im,0.0015681992777792629 - 0.0006495694093598633im,-32.38374700051154 - 13.413787208070916im,24.30952930734948 + 24.30952930734948im,4.941706700977719 + 11.930335338770414im,-5.3699160003125016e-5 + 1.318398578992589e-26im
-0.707106781186546 + 1.7933662711662604im,3.536202902985781 - 1.5362029029857942im,0.5431297449898567 + 0.12333571991906207im,-0.2448323079891343 - 3.291370594996653im,-2.894242201401837 + 1.4142135623730923im,0.6976921913383479 + 0.6976921913383487im,0.1354320200532579 + 0.10727223646950851im,-2.8087527758169513 + 1.731238426210513im,10.116034107390664 - 2.0241259559943896im,-4.586971056684948 - 5.865529399406603im,-1.3218236936385164e-6 + 1.1193836621631417e-5im
2.4114550209067995 - 1.765058384292976im,-2.6045651570312134 - 2.0478894857996544im,1.0080119086070571 + 0.54429232948936im,0.08600307421996765 - 0.8754905289947893im,0.34181038621527554 + 0.8784553663002305im,-0.20773116660644597 - 0.08477054792288606im,0.12834570904574277 + 1.4978978703985726im,-0.4326648545740587 - 2.7613829635491256im,-2.0661941617026267 + 1.52823153854294im,0.9357588205064218 - 1.697001125803754im,7.4806872993732595e-6 - 1.929206076238982e-5im
0.8698253538209803 - 0.7428717263130651im,-0.2699746366798573 + 0.494562961900938im,-0.54269808433233 + 0.07620983528532589im,2.1488512787152136 - 0.8442754428210238im,0.9323280700541282 + 0.8451928685212903im,-3.4879056567740494 + 1.9290752598024685im,-0.1503802247644996 + 0.06689361680103235im,1.2187021409277683 + 0.22330725916329097im,-0.650409146513995 + 3.8708255899413877im,-4.660462474999739 + 0.47100403382313627im,-0.0012459335952630531 - 0.00014478554910498986im
0.7428717263130669 + 0.8698253538209791im,-0.26997463667985694 + 0.4945629619009402im,0.07620983528532631 + 0.5426980843323297im,-2.148851278715214 + 0.8442754428210257im,-0.8451928685212934 + 0.9323280700541313im,-3.4879056567740454 + 1.929075259802473im,-0.06689361680103262 - 0.15038022476449917im,0.22330725916329494 - 1.2187021409277705im,0.6504091465139962 - 3.870825589941393im,-0.47100403382314077 - 4.6604624749997505im,-0.0012459335952630542 - 0.00014478554910500526im
0.41324226968027733 + 1.3001694292490082im,-1.934874459202598e-31 + 1.0838330690176778e-31im,0.4033146628383769 - 0.12818842138361544im,0.5065571237677283 - 1.4327599090980558im,-1.5745022152383845 - 0.05055424626101172im,-0.4444444444444444 + 1.2570787221094177im,0.045722130998229346 - 0.06044800390321094im,-2.7942459498943206 + 0.8881154351138827im,1.7547653506033232 + 2.481612957605599im,3.8012665881241507 - 5.025552670871191im,-0.01902488425925926 - 0.01007668083722149im
3.873728245384283 - 0.3257489452769793im,1.7695111196692337 + 3.9075456144031824im,0.7166332268999481 - 1.1377277145726603im,0.19868228211320973 - 0.6769028807529465im,-0.08673855412515093 - 6.621122824576116im,4.505191461029473 - 3.0107034248535824im,-2.414846061884443 - 0.28018273542044697im,-0.12194767163926898 + 1.8511637915863624im,-2.2087232865292004 + 1.592744267750088im,-3.2080272216598478 + 0.46613680094089693im,-2.0106892624794357e-7 + 2.0979573170806087e-7im
3.403211480080312e-61 - 3.098492190845992im,-6.196984381691984 + 8.051026015732852e-60im,2.528099956631089e-60 - 1.9384680863002477im,-9.433824136109502 - 2.858697643267462e-60im,-1.9446922743316068e-61 + 12.67066389052702im,7.113775927018013 + 1.5946476649519176e-60im,-2.8509188741701355e-59 + 7.28410112334458im,-2.6423506277480707e-60 - 3.9962965371444135im,-7.226821945651795 + 9.431757530508293e-60im,1.0754148277053786e-59 + 6.468457742725936im,1.8069934640327046e-7 + 1.6740685935774525e-62im
0.05474455103741677 + 0.05963209096572997im,-0.013234557924399705 + 1.970407444158787im,0.5244601022130105 - 0.36912947866888607im,-0.6888968552165787 - 0.201534068014542im,0.29863453466551704 + 0.22507287243712304im,-0.04263823668361131 - 0.04729817528684742im,-0.07012625111396914 - 0.25430017267651084im,-0.4531755891943696 - 1.919153751479106im,-0.9271359331262395 + 1.580854654590538im,0.43102375410390986 - 0.2985491643696765im,-15363.469153754293 + 210063.7749017113im
-6.447043827864143e-58 - 2.0752606388504717im,2.203765034924143 - 1.2514483723778756e-57im,-2.408306912532262e-58 + 0.38633236350094613im,0.947030021935076 - 8.01213217024622e-58im,-5.591379227158236e-58 - 0.389161398272671im,-0.04773075331573228 + 9.29562907130508e-59im,1.0785263353443091e-58 - 0.05766114645232085im,7.23861137120808e-57 + 5.672107669961455im,-7.191707905993567 + 5.986540697302418e-57im,4.5353335345052e-57 + 3.0727054917615177im,-695.6505854375158 + 3.4382963078788585e-45im
-2.9694787989548104 - 2.5088002226153754im,-1.7695111196692337 - 3.9075456144031824im,0.29775876775364973 + 1.3112311964827519im,0.6769028807529465 + 0.19868228211320973im,4.620507428514588 - 4.743174268139009im,4.505191461029473 - 3.0107034248535824im,-1.5094349136929248 - 1.9056731380673133im,1.22274044455168 + 1.3952004956837551im,1.592744267750088 + 2.2087232865292004im,2.5980262955726303 + 1.938809309760806im,-2.0106892624794357e-7 + 2.0979573170806087e-7im
-0.21010690594991 - 0.8008355458178789im,0.6544274814427187 - 1.6140977243105172im,0.4376339868917032 + 0.32985700424497527im,0.25214615877658436 + 0.6323198765481981im,-0.35123285679172733 + 0.0380766548998025im,-0.29477297080304005 - 0.08027102355731996im,-0.0590339466292302 + 0.15363580674543917im,-0.9677444451256446 + 2.473082109338606im,-1.5477337689826849 + 0.13692560685022087im,-1.014370697981601 - 2.4780157360886954im,-0.2653400526080882 - 0.44443883914692206im
-2.1909648396007633 + 2.1909648396007633im,6.196984381691984 + 9.127080255263359e-30im,1.3707039289366147 + 1.3707039289366147im,-1.4127099632209512e-30 - 9.433824136109502im,-8.959512359127178 + 8.959512359127178im,7.113775927018013 + 1.7140382991093306e-30im,-5.150637299165501 + 5.150637299165501im,-2.8258083810471324 - 2.8258083810471324im,-9.412650064246585e-30 + 7.226821945651795im,4.573890333700137 - 4.573890333700137im,1.8069934640327046e-7 - 1.8326129877400767e-36im
0.0034560126266302738 - 0.08087649916977116im,0.013234557924399705 - 1.970407444158787im,-0.10983533723398523 + 0.631863252239234im,0.201534068014542 - 0.6888968552165787im,0.052015950197051714 + 0.3703170589199007im,-0.04263823668361131 - 0.04729817528684742im,0.13023062885459252 - 0.22940412425834905im,-1.6774901639980258 - 1.03660309962293im,1.580854654590538 + 0.9271359331262395im,-0.5158859580227332 - 0.09367368073598221im,-15363.469153753353 + 210063.77490171336im
-1.4674308704606953 + 1.4674308704606953im,-2.203765034924143 - 8.597908647599021e-29im,-0.27317823402334523 - 0.27317823402334523im,-4.832905154381969e-29 + 0.947030021935076im,0.27517866369464444 - 0.27517866369464444im,-0.04773075331573228 - 5.4589491981477486e-30im,0.04077258766742671 - 0.04077258766742671im,4.010785797049972 + 4.010785797049972im,-3.686717773129507e-28 + 7.191707905993567im,2.1727308898137148 - 2.1727308898137148im,-695.6505854375158 + 3.1046195166408114e-23im
3.098492190845992 + 1.7137600667547285e-61im,-6.196984381691984 + 9.212979649645987e-61im,-1.9384680863002477 - 4.454560740890837e-61im,9.433824136109502 + 8.55664600705907e-61im,-12.67066389052702 - 7.243978721885235e-61im,7.113775927018013 + 7.632917176751557e-61im,-7.28410112334458 - 5.017306067775546e-60im,-3.9962965371444135 + 3.136196115069546e-61im,7.226821945651795 - 1.328467909902779e-60im,-6.468457742725936 + 1.4743198304776494e-60im,1.8069934640327046e-7 - 5.996451031447313e-63im
-2.468995073904383 + 2.4689950739043782im,-5.656854249492378 - 2.1596751406830698e-14im,-0.0705690408281127 - 0.07056904082811255im,-9.147752214392848e-15 + 4.5590141139095435im,-4.503919019814228 + 4.5039190198142im,-3.9999999999999782 - 3.9546579144449415e-15im,0.000702866168000749 - 0.0007028661680007533im,-21.534533464960777 - 21.534533464960848im,2.973977858006967e-13 - 75.53458990831705im,56.682079748581835 - 56.68207974858139im,-1.6423497196397676e-6 + 9.311891026294871e-20im
-1.9947279563342584 - 2.1667921724959265im,-3.8157756508757954 + 0.34842895884819686im,1.9223332382566136e-30 + 0.8029397715729818im,2.747507657502746 - 0.7979211440011365im,4.630976584409123 - 3.8011449685219065im,-0.6415206717406062 - 5.827685922884438im,-3.71805551626231e-30 - 0.5176651282429495im,2.1002319701631404 - 0.7048603792639053im,5.078797596744982 + 2.507313670575866im,8.282545067193082 - 3.07562535091515im,-2.9152341458273953e-5 + 1.224330089444728e-5im
-2.098492190845992 - 1.0im,-2.0 + 4.196984381691984im,-0.16002410454574437 - 2.033193628275145e-31im,-2.0 - 3.236839754417518im,-10.67066389052702 + 2.0im,2.255883026204833e-28 + 7.113775927018013im,-0.004097851508021153 - 1.5619632303608003e-32im,11.89389795430557 - 18.823531693218868im,-46.19608451525032 - 47.57559181722228im,-47.57559181722228 + 25.09804225762516im,-6.157847504048435e-5 + 0.0006439577187501421im
-1.3001694292490082 - 0.41324226968027733im,1.3805065841367707e-29 - 2.01159530831358e-29im,-0.12818842138361544 + 0.4033146628383769im,-0.5065571237677283 - 1.4327599090980558im,0.05055424626101172 + 1.5745022152383845im,-0.4444444444444444 - 1.2570787221094177im,0.06044800390321094 - 0.045722130998229346im,0.8881154351138827 - 2.7942459498943206im,-1.7547653506033232 + 2.481612957605599im,5.025552670871191 - 3.8012665881241507im,-0.01902488425925926 + 0.01007668083722149im
0.06067310374111543 - 0.06067310374111543im,-0.023116821227956465 - 5.160366764473975e-32im,0.27317823402334523 + 0.27317823402334523im,-2.2996755681545158e-31 - 0.8298472468087821im,-0.2496835306940521 + 0.2496835306940521im,-3.9672366348852446 + 2.600597547980202e-31im,-0.04077258766742671 + 0.04077258766742671im,2.1623259971676907 + 2.1623259971676907im,-8.944036723988137e-31 - 2.429929634463391im,-0.42746395309900453 + 0.42746395309900453im,-7275.608989400945 - 7.69820059234425e-24im
3.2641922107733903 - 3.2641922107733903im,5.656854249492381 + 2.3879695899164724e-27im,-2.197859118251791 - 2.197859118251791im,1.0693006681375898e-27 - 4.559014113909555im,-1.4315132138426403 + 1.4315132138426403im,-4.0 + 4.036899024859444e-28im,21.233889274952585 - 21.233889274952585im,0.6914325666660355 + 0.6914325666660355im,-6.931920655612603e-30 - 1.8344451829777202im,1.819952865396422 - 1.819952865396422im,0.0015930775349048251 + 3.7676889261143504e-29im
2.1667921724959265 + 1.9947279563342584im,-3.8157756508757954 - 0.34842895884819686im,0.8029397715729818 + 1.1964285163431222e-30im,-2.747507657502746 - 0.7979211440011365im,3.8011449685219065 - 4.630976584409123im,-0.6415206717406062 + 5.827685922884438im,0.5176651282429495 + 2.314056458305448e-30im,-0.7048603792639053 + 2.1002319701631404im,-5.078797596744982 + 2.507313670575866im,3.07562535091515 - 8.282545067193082im,-2.9152341458273953e-5 - 1.224330089444728e-5im
-0.709273687564956 + 0.29379078082378196im,-1.0122947951340595e-15 + 40.35088719082405im,0.1464532175857983 + 0.060662908977215525im,8.181047719295332 - 8.18104771929533im,2.9776049143319128 + 7.188574167568879im,-86.80976971537967 - 1.1849883984829572e-15im,0.001524369938428077 + 0.0036801545794269037im,-15.784355898318013 + 38.106806083043104im,209.90931368100635 + 209.90931368100638im,-180.9369772203666 + 74.94654989946761im,2.5395661276036377e-14 - 8.484130210706776e-30im
0.33021937122814693 + 1.6334766813879105im,0.6926364789610804 - 0.05822415413143795im,0.2630767991732803 - 0.09366021161119224im,1.6177770316647253 - 2.8919089483945517im,-5.112715587872665 + 3.317157755720125im,3.005022309917389 - 0.5888536209911485im,0.011284073315258412 - 0.01862489237558985im,-8.95601237633891 - 1.9944613313533848im,16.830147809763158 + 17.0056604089891im,-5.74850698124083 - 18.453630607761916im,-0.003857594106046698 + 0.03779370022562713im
-0.8158783266632262 - 0.760284872964684im,-8.934916500324483 + 0.7792043751942572im,-0.15520506745930274 + 0.01877320299757763im,3.7116959180784255 - 2.056244587772612im,9.870316263084714 - 5.542248750521696im,3.331057103194336 - 7.18951681632859im,-0.0035745765674121514 + 0.001350044964285883im,31.45869496539507 + 2.860237323336859im,31.24916039020374 + 43.98483655542277im,72.9763980486216 + 53.50900852183196im,-2.0322778626168784e-9 + 5.133003853591699e-9im
-1.412738930646045 + 1.5093805394412403im,0.5474159155309214 - 1.8239175124707367im,-0.0964718965308098 - 0.12302121481916733im,-0.28962892130813706 + 1.3376422800782914im,-0.7446841140595746 - 1.6275259837417055im,0.5671450626585535 + 0.2172714611190123im,0.0034822332798409667 - 0.0015729813815343677im,-11.335051361482163 - 1.2392676977471546im,1.3719224125764347 + 8.131632773792877im,-5.293941467245124 - 10.645415745403582im,8.058819574878804e-5 + 0.00045266076467285755im
-3.0608241958468 + 0.11733870688795843im,6.149890843476449 + 0.5746187458958107im,-0.12711504978335808 - 0.018005494850626018im,-4.128771991453817 + 0.11188844325488977im,5.699821850817669 + 1.214592777463606im,-1.959190441566894 - 1.1720837204864776im,-0.0019303236829283593 - 0.0008669737562492107im,-1.0042711058857143 - 11.499363720194346im,38.9234441313211 + 47.311348286806066im,-23.132062689730773 - 49.943652592892im,-1.8326790394003608e-6 - 6.397225719931244e-7im
2.2473005402392663 + 2.081358549566994im,-6.149890843476431 - 0.574618745895802im,0.10261572120017537 - 0.07715210618518105im,-0.11188844325489158 - 4.128771991453808im,3.1715358929437127 + 4.889229471593133im,-1.959190441566894 - 1.172083720486471im,-0.0007519019439290461 - 0.0019779879882382335im,-8.841404975001486 - 7.421151156758439im,47.311348286805824 - 38.923444131320984im,-18.958657034917906 + 51.67233381639982im,-1.8326790394003958e-6 - 6.397225719931247e-7im
0.8158783266632248 + 0.7602848729646847im,-8.934916500324482 + 0.7792043751942679im,0.1552050674593028 - 0.01877320299757763im,3.711695918078428 - 2.0562445877726145im,-9.87031626308471 + 5.542248750521695im,3.331057103194328 - 7.189516816328589im,0.0035745765674121558 - 0.0013500449642858843im,-31.45869496539505 - 2.8602373233368534im,31.249160390203716 + 43.98483655542275im,-72.97639804862162 - 53.509008521831866im,-2.032277862616917e-9 + 5.133003853591668e-9im
1.2022179969436684 + 0.6395904137435692im,1.71644252685684 + 3.4231056271022196im,0.0045964554738505345 + 0.44416975037141604im,-1.605622144916938 + 3.19044506774118im,0.37226040411843514 + 1.4932217243593768im,-5.2863306528668 - 0.6886207807039988im,-0.002720362411119002 - 0.08760066165453398im,1.238100964520872 - 3.4796450645579653im,2.8432580401613867 - 2.5809299588685053im,14.844852735357334 + 3.8856709518907326im,-6.019130302611723e-6 - 4.586381589205278e-6im
0.6420951277098598 - 0.5283663041664203im,3.2804374471772406 + 1.8014990601186096im,-0.07354096682500122 + 0.19777595200399445im,-0.3294858954052734 + 3.9611328928655616im,4.919157682289375 - 4.291594551220692im,-3.2418335640980516 - 7.927363026914468im,0.008232007253705494 - 0.004527191573761866im,-16.114329343165473 - 3.7704930241029415im,-15.3587848290934 + 26.51615976260186im,33.759555156762595 + 9.888246677336085im,-3.5921383287635334e-7 + 4.534544227064257e-7im
2.0813585495669984 - 2.2473005402392707im,-6.149890843476456 - 0.5746187458958101im,0.07715210618518091 + 0.10261572120017513im,0.11188844325488982 + 4.128771991453822im,4.889229471593156 - 3.1715358929437163im,-1.9591904415668973 - 1.1720837204864796im,-0.00197798798823822 + 0.0007519019439290429im,7.421151156758505 - 8.841404975001513im,-47.31134828680613 + 38.923444131321155im,51.672333816400084 + 18.958657034918105im,-1.832679039400018e-6 - 6.397225719930858e-7im
0.9215420816449084 - 1.3885427949940696im,-0.6926364789610804 + 0.05822415413143795im,-0.11979561791063696 + 0.2522511594259191im,2.8919089483945517 + 1.6177770316647253im,-5.960820605798177 - 1.2696511191276778im,3.005022309917389 - 0.5888536209911485im,0.0211488324582746 - 0.00519074293702382im,-7.743154215914217 + 4.922559951485561im,17.0056604089891 - 16.830147809763158im,-8.983879072126483 + 17.113495608393684im,-0.003857594106046698 + 0.03779370022562713im
0.27050548830180937 + 0.503780241980929im,0.6645568657410008 + 2.079591795049812im,0.31082525765058255 - 0.31732562732054614im,-0.5383861209355182 + 0.17111879176696712im,1.4068606729237543 - 0.510361120599486im,-0.02664168302838731 - 1.415150541527671im,-0.06386660860053663 - 0.0600194351841621im,-0.9329097766893899 - 1.8830332878283096im,0.25783813790979526 + 2.0559232867971673im,2.2417818761443766 - 2.0687132454609274im,-0.4007801650899748 + 0.14864856347624172im
1.4838580584142156 + 0.6146341324317764im,-5.5220263365470826e-30 + 1.17157287525381im,2.1467717903362655 - 0.8892219908772516im,7.888609052210118e-30 + 1.7946585593778019e-29im,1.229268264863553 - 2.967716116828431im,-1.6568542494923801 + 1.0255191767873153e-29im,4.801216193705693 - 11.591161250729613im,0.1036676188599263 + 0.2502757714305589im,0.7981340665282828 - 0.7981340665282828im,-1.3805065841367707e-30 + 4.831773044478697e-30im,-0.0018309203876176875 - 1.8488927466117464e-32im
0.10024883089581424 - 0.041524425369093204im,-1.5516897045817394e-31 + 0.19435632107096723im,-0.8400049361106369 - 0.347941436997371im,1.170027887347558 - 1.170027887347558im,0.37246665206838886 + 0.8992140429552052im,-4.4979356878013945 - 2.7136251769493347e-31im,-0.28763328225461876 - 0.6944081710089891im,-0.47649572239113935 + 1.150362435409454im,-1.6670371219145788 - 1.6670371219145788im,0.7702679514892941 - 0.31905543216820687im,0.6778414025684153 - 2.0220722165056254e-30im
-0.29379078082378207 - 0.7092736875649561im,2.501149125689904e-15 + 40.35088719082405im,0.06066290897721553 - 0.1464532175857983im,-8.181047719295332 + 8.181047719295332im,-7.188574167568883 + 2.9776049143319145im,-86.80976971537967 + 5.1619873771756466e-15im,-0.003680154579426903 + 0.001524369938428077im,38.10680608304312 + 15.784355898318015im,-209.90931368100644 - 209.9093136810064im,-74.94654989946764 - 180.93697722036666im,2.539566127603633e-14 + 1.2970900342507227e-29im
5.345529420184391e-51 - 1.536202902985791im,-2.0 - 9.087400014313465e-50im,1.0022867662845734e-51 + 0.17442304783458742im,8.859277744181285e-32 - 1.0356963251607258e-50im,0.0 + 8.983989489142647e-35im,-7.847749180532507e-52 - 1.0195788231247695e-56im,-8.352389719038111e-53 - 0.005306542086496076im,2.993496475303259e-49 - 12.321421339255588im,-10.16983902734965 - 5.986992950606518e-49im,2.1382117680737565e-49 + 1.75028513345912e-30im,0.0004349926934592374 - 1.2006560221117285e-52im
-0.8158783266632254 + 0.7602848729646847im,-8.934916500324483 - 0.7792043751942682im,-0.15520506745930276 - 0.018773202997577624im,3.7116959180784277 + 2.056244587772615im,9.870316263084714 + 5.542248750521701im,3.3310571031943343 + 7.189516816328587im,-0.0035745765674121527 - 0.001350044964285883im,31.45869496539507 - 2.8602373233368508im,31.249160390203766 - 43.984836555422795im,72.97639804862165 - 53.50900852183191im,-2.0322778626169235e-9 - 5.133003853591666e-9im
1.3885427949940696 + 0.9215420816449084im,-0.6926364789610804 + 0.05822415413143795im,0.2522511594259191 + 0.11979561791063696im,-2.8919089483945517 - 1.6177770316647253im,1.2696511191276778 - 5.960820605798177im,3.005022309917389 - 0.5888536209911485im,0.00519074293702382 + 0.0211488324582746im,4.922559951485561 + 7.743154215914217im,-17.0056604089891 + 16.830147809763158im,-17.113495608393684 - 8.983879072126483im,-0.003857594106046698 + 0.03779370022562713im
0.9673359504774778 - 0.12901339189118155im,-0.08665354826624057 - 1.853611476841765im,0.2249717065030391 - 0.0510873279155251im,0.1533998364364829 + 1.0978296270818886im,-0.2080090129788487 + 0.8180784677694429im,-0.09982828114691135 + 0.14938220619129458im,0.009624857321706187 - 0.007623603119803812im,-4.2467245420259925 - 6.4048761726339745im,2.256218734747482 + 0.846469658640537im,0.9748839246532367 + 3.332299822767135im,-0.021353973704955103 + 0.01252190134833843im
-0.3791527087931653 - 0.7071067811865476im,0.4637970970142089 - 1.536202902985791im,0.12333571991906232 + 0.5431297449898564im,-0.24483230798913325 - 0.7086294050033421im,1.4142135623730951 + 0.06581507665565284im,-0.6976921913383497 + 0.6976921913383497im,-0.10727223646950865 - 0.13543202005325766im,-0.022248559907306717 + 1.2183585020789403im,-0.7839665107407257 - 1.688686965107646im,0.49604769554542794 + 2.248988408527866im,-0.015490282886303514 - 0.09759353472959285im
-2.9426391031401384 + 0.12166777404746344im,3.8157756508757954 + 0.34842895884819686im,-0.567764157363633 - 0.567764157363633im,-0.7979211440011365 + 2.747507657502746im,-0.586779562836841 - 5.962410329866773im,-0.6415206717406062 + 5.827685922884438im,0.36604452256439335 - 0.36604452256439335im,-1.9834998221343685 + 0.98667671419991im,-2.507313670575866 - 5.078797596744982im,3.6818482404740607 + 8.031439324516775im,-2.9152341458273953e-5 - 1.224330089444728e-5im
-0.0996220783111558 + 0.24050897257058768im,1.9017959272617824e-15 - 3.266954477981894im,-0.09494054755203452 - 0.22920675751924946im,-1.5971039192688787 - 1.5971039192688805im,-0.5188113334385166 - 0.21489869062310366im,-1.6396891465437071 - 1.4021194822377056e-15im,0.014107548775604252 + 0.005843538034695231im,-7.849122612027954 + 3.2512130386313096im,-0.8618106513737664 + 0.8618106513737653im,-6.067655632246959 + 14.648616519180072im,0.00022435622578723387 - 1.4376052064859447e-18im
0.03266404952252217 + 2.096729508719613im,-2.641401743208939 + 2.0344679635775886im,-1.3112311964827519 + 0.29775876775364973im,-1.1138488738701173 - 0.7438660034221879im,-0.4912143854032027 - 0.7028793088705643im,0.08682740686846274 - 0.4061482919874849im,-1.9056731380673133 + 1.5094349136929248im,0.3082113121074938 + 1.8618263351220525im,-0.07651631640407122 + 2.2163029340248857im,-1.7629597034197588 + 1.1375134657839128im,4.434499866441853e-5 - 4.999267536950391e-6im
-0.3610224921651959 + 1.7727432455690129im,1.387006270054543 + 0.395562108447355im,-0.12295482324164006 - 0.19520321524517728im,1.762976496133227 + 0.7225674409553909im,0.8381123466791504 - 2.151875288905993im,-2.2922646060061673 - 0.49004611252189356im,0.01219650334321963 - 0.0014151004170432405im,-0.7189587119722943 - 6.599775810944976im,-9.593376300504039 + 0.04212077254699073im,3.9683635138500684 + 11.804264292432213im,0.20013044459108667 - 1.3347306037232873im
-1.0330234089952515 + 1.307728388557885im,-1.0553245851912476 + 0.0887123089431212im,-0.2522511594259191 - 0.11979561791063696im,0.031961966815724614 + 1.8581888478499702im,-1.312915552533453 + 1.4461454634032425im,-3.061156511906736 - 0.07892071760071216im,-0.00519074293702382 - 0.0211488324582746im,5.316208408870829 + 0.036627361405012354im,5.699253639372378 + 5.3847687322296895im,-0.2996992075503815 + 9.103542575035979im,-3.126935878631098 + 11.006357902765613im
-0.06781046372930416 + 2.251576177179589im,2.371905207168361 + 0.18355303594416386im,-1.228476328054598 - 0.5088515561345139im,0.23877891171124885 + 3.543374410781389im,1.438122937192661 - 0.9750404275338516im,-4.367106071888328 + 1.64118975601707im,-0.8996922921157637 - 2.1720493335884132im,-0.2580745688421157 - 1.5966417498463945im,1.0839253938943494 + 2.630047089205437im,3.0313986117979406 - 1.5565216802850257im,0.6476009065705829 + 0.8241853550770347im
1.6551614691244236 + 0.19424575387445012im,1.0553245851912476 + 0.0887123089431212im,0.2630767991732803 + 0.09366021161119224im,-1.8581888478499702 - 0.031961966815724614im,-1.9509507540762825 - 0.09420777343290732im,-3.061156511906736 + 0.07892071760071216im,0.011284073315258412 + 0.01862489237558985im,3.7850264717399638 + 3.7332275604870544im,5.3847687322296895 + 5.699253639372378im,6.649096029603495 + 6.225257345653276im,-3.126935878631098 - 11.006357902765613im
0.27050548830180937 - 0.503780241980929im,0.6645568657410008 - 2.079591795049812im,0.31082525765058255 + 0.31732562732054614im,-0.5383861209355182 - 0.17111879176696712im,1.4068606729237543 + 0.510361120599486im,-0.02664168302838731 + 1.415150541527671im,-0.06386660860053663 + 0.0600194351841621im,-0.9329097766893899 + 1.8830332878283096im,0.25783813790979526 - 2.0559232867971673im,2.2417818761443766 + 2.0687132454609274im,-0.4007801650899748 - 0.14864856347624172im
-0.24050897257058773 + 0.09962207831115615im,-2.997671439839845e-29 + 3.266954477981894im,-0.22920675751924946 - 0.0949405475520345im,1.5971039192688794 - 1.5971039192688794im,0.2148986906231036 + 0.5188113334385166im,-1.6396891465437062 - 2.0904813988356813e-29im,-0.005843538034695232 - 0.014107548775604248im,3.251213038631312 - 7.849122612027954im,0.8618106513737656 + 0.8618106513737656im,-14.648616519180074 + 6.067655632246946im,0.00022435622578723542 - 4.6414911659732384e-32im
0.09962207831115606 - 0.24050897257058668im,-1.8767402146551043e-15 - 3.2669544779818933im,0.09494054755203454 + 0.22920675751924957im,-1.5971039192688805 - 1.5971039192688792im,0.5188113334385178 + 0.21489869062310407im,-1.6396891465437085 + 1.4426051005884986e-15im,-0.01410754877560427 - 0.005843538034695243im,7.849122612027945 - 3.2512130386313105im,-0.8618106513737691 + 0.8618106513737704im,6.067655632246932 - 14.648616519180077im,0.00022435622578723637 + 1.3324418913141852e-18im
0.3257489452769793 - 3.873728245384283im,1.7695111196692337 - 3.9075456144031824im,-1.1377277145726603 + 0.7166332268999481im,-0.19868228211320973 - 0.6769028807529465im,6.621122824576116 + 0.08673855412515093im,4.505191461029473 + 3.0107034248535824im,0.28018273542044697 + 2.414846061884443im,1.8511637915863624 - 0.12194767163926898im,2.2087232865292004 + 1.592744267750088im,-0.46613680094089693 + 3.2080272216598478im,-2.0106892624794357e-7 - 2.0979573170806087e-7im
-2.468995073904385 - 2.468995073904385im,-5.656854249492381 + 1.3883951931889808e-28im,-0.0705690408281125 + 0.0705690408281125im,-8.993014319519535e-29 - 4.559014113909555im,-4.503919019814222 - 4.503919019814222im,-4.0 + 3.944304526105059e-29im,0.0007028661680007469 + 0.0007028661680007469im,-21.534533464960965 + 21.534533464960965im,2.271919407036514e-27 + 75.5345899083173im,56.68207974858184 + 56.68207974858184im,-1.6423497196398612e-6 + 3.1296361596292583e-34im
-1.0 + 2.098492190845992im,-2.0 + 4.196984381691984im,-8.615465490280758e-26 - 0.16002410454574437im,2.0 + 3.236839754417518im,2.0 + 10.67066389052702im,5.921126845716497e-25 + 7.113775927018013im,6.518530223164238e-27 + 0.004097851508021153im,18.823531693218868 + 11.89389795430557im,46.19608451525032 + 47.57559181722228im,25.09804225762516 + 47.57559181722228im,-6.157847504048435e-5 + 0.0006439577187501421im
0.9487093183742752 - 0.39296826642035937im,7.889359139027094e-17 - 0.0966627933708626im,0.2292067575192495 + 0.09494054755203452im,-0.011958076963363658 + 0.01195807696336366im,0.028117248547458614 + 0.06788104277988981im,-0.01972748423423074 - 5.238402475733993e-19im,0.005843538034695233 + 0.014107548775604254im,-1.9952548095392741 + 4.816971221579863im,2.4079323466848526 + 2.407932346684853im,-2.5251884318316993 + 1.0459672960123376im,0.009249674677485893 + 2.9484689889198747e-19im
