x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.08251932831536174 - 1.5323274849930937im,-0.8583994803742175 + 2.4524147179294116im,-0.712984536960412 + 0.2324917713618466im,0.9999452620587979 + 1.588366553335209im,-0.28101600767548574 - 1.8674731689861686im,0.5422015545866395 + 1.798915897039535im,-0.7234210043689345 - 1.0813718064867457im,-0.9656787464349074 + 2.9167898008274307im,1.225569765198804 - 0.884838430915047im,0.025592531891534324 + 0.059865768810934444im
-2.0475682073497705e-16 + 1.727140004448344e-16im,-5.464101615137754 + 8.479581347566479e-16im,0.14942924536134228 - 0.14942924536134225im,2.6130172448026374e-16 + 4.098076211353316im,2.8977774788672055 + 2.897777478867204im,-3.3660254037844384 + 1.0126538887689823e-16im,11.262940516245282 - 11.262940516245285im,1.585653690508101e-16 + 19.392304845413264im,13.712430259028466 + 13.712430259028457im,1.2668651478274755e-7 + 1.7438078286815699e-22im
1.2857748647634564 + 0.8376275771208787im,-1.6946537061546099 - 1.9696031155641398im,0.5578360486504086 + 0.5012168358322785im,0.8755931546804225 - 1.660161276004411im,-1.476771201390109 + 1.1771035860101378im,1.2868060888145891 - 1.3690182687632124im,-0.7234210043689345 - 1.0813718064867457im,-0.9656787464349074 + 2.9167898008274307im,1.225569765198804 - 0.884838430915047im,-0.06464154255312252 - 0.007769101640235085im
1.578389083852742e-32 - 1.9666574389908514e-32im,2.732050807568877 - 4.732050807568878im,-0.2041241452319315 - 0.05469489987058925im,3.549038105676658 - 2.049038105676658im,1.0606601717798212 - 3.958437650647026im,1.6830127018922194 + 2.915063509461097im,11.262940516245283 - 11.262940516245283im,-6.622632222521948e-33 + 19.392304845413264im,13.712430259028462 + 13.712430259028462im,-6.334325739137375e-8 + 1.0971374011877216e-7im
-1.3682941930788182 + 0.694699907872215im,2.5530531865288273 - 0.48281160236527165im,0.15514848831000339 - 0.7337086071941251im,-1.8755384167392204 + 0.07179472266920225im,1.7577872090655948 + 0.6903695829760309im,-1.8290076434012288 - 0.42989762827632255im,-0.7234210043689345 - 1.0813718064867457im,-0.9656787464349074 + 2.9167898008274307im,1.225569765198804 - 0.884838430915047im,0.03904901066158819 - 0.05209666717069936im
-1.232595164407831e-31 + 6.162975822039155e-33im,2.732050807568877 + 4.732050807568878im,0.05469489987058925 + 0.2041241452319315im,-3.549038105676658 - 2.049038105676658im,-3.958437650647026 + 1.0606601717798212im,1.6830127018922194 - 2.915063509461097im,11.262940516245283 - 11.262940516245283im,-6.902532920683853e-31 + 19.392304845413264im,13.712430259028462 + 13.712430259028462im,-6.334325739137375e-8 - 1.0971374011877216e-7im
8.80033482522403 - 5.531801200170023im,-8.3951676397506 + 5.876176026882416im,-0.08463947497290354 + 0.044889882940577504im,-17.308104360897637 + 11.93501454724094im,17.17072138663436 - 36.47233495339942im,2.005111519110867 + 21.185192962270538im,-86.79816648447485 + 199.54521348486344im,-34.19193684622876 - 427.0347113562213im,116.63855032662059 + 184.93240885775305im,-9.69631167486974e-6 - 2.5622335341839426e-6im
0.8364858639505292 - 0.9798384433509032im,-1.3580063063744783 + 1.6282156171953504im,-0.8261868746449537 + 0.052175150540006265im,-0.7510487868459593 + 1.003466726660916im,0.17958616181864884 + 0.08619213334303215im,0.7886269552639206 + 1.4536679760584488im,1.0953235211666794 - 0.6204421466952258im,-0.07404878978468288 - 1.7662459688778076im,-0.5947207345393053 - 0.2969507190281685im,8.576136845085584 + 13.963836094936676im
0.31525203031704224 + 1.0104291708952282im,-0.6088021643640151 - 0.07288897055211774im,0.39619054400298626 + 0.14031312205552723im,0.9700914213204941 - 0.03655109471171855im,-0.05182045554356783 + 0.8242522142711971im,-0.2508608616927319 + 0.6039388848601881im,-1.8609339336058488 + 1.8683579540235156im,-1.2289782725941458 + 0.43542288982055005im,-0.5062234937078147 - 1.7413533360027789im,-0.6233506028497157 + 1.328892860056206im
0.43032205157121717 + 1.2143372297631836im,-0.7310729341424931 - 1.9901757684174468im,0.4582784431363996 + 0.6894112464457962im,1.2445520705637483 + 0.14869396555962675im,-0.015148503827882834 - 0.19862224497460898im,0.8645999183025656 - 1.4098049653969535im,1.0953235211666794 - 0.6204421466952258im,-0.07404878978468288 - 1.7662459688778076im,-0.5947207345393053 - 0.2969507190281685im,-16.381105215040044 + 0.44523432670750673im
2.3980100534842212 - 0.156591614511822im,0.6417845538480005 + 1.534243754471854im,-0.039581106577460064 + 0.2719664728154789im,-2.709062018496564 - 1.6884969222765127im,-2.3868548278242048 + 1.5766990783884698im,1.5174285710666071 + 0.672344078542915im,-1.4592818440654094 - 7.611388681904094im,-0.04729643735651019 + 9.55190400349022im,11.1960133564711 - 2.4235424254786824im,1.3976641765668151e-5 + 8.930596000384646e-6im
-1.063392710555257 + 2.1550334321037297im,-1.6495863438942369 - 0.21132014984709577im,0.25532042772458474 - 0.1017049926017595im,-0.10775021965501791 + 3.1903649895838297im,2.5588888699200334 + 1.2787273768470617im,-0.176447233431093 - 1.6503037302434613im,-1.4592818440654245 - 7.611388681904097im,-0.047296437356518166 + 9.551904003490224im,11.196013356471116 - 2.4235424254786815im,-1.4722443890102871e-5 + 7.638828828470817e-6im
