x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.8058648477773949 - 0.9609708714612263im,0.19934032618261052 + 0.09559031453469855im,-0.17990472640238464 + 0.5914411374119001im,-0.781149471251384 + 0.3414916085871969im,-0.09904968945294686 - 0.6358909099078975im,0.0759773456799759 - 0.05282029346828404im,-0.07936821288141858 - 0.9320218112500693im,0.8264604214459109 - 0.6543347765196637im,0.6027692377125509 + 1.5869757999747507im,0.04570541558047392 - 0.0313556413307597im
0.4292927630935947 + 1.178384865922717im,-0.18245380383409904 + 0.12483862920546812im,0.6021554130430606 - 0.13991850538059578im,0.6863151438414171 + 0.5057494819628824im,-0.5011728372893673 + 0.4037250022571603im,-0.08373238881887107 - 0.039388164736829226im,-0.07936821288141876 - 0.932021811250069im,0.8264604214459115 - 0.6543347765196642im,0.6027692377125514 + 1.5869757999747511im,0.004302074154154336 + 0.05525987164859529im
-1.2351576108709892 - 0.2174139944614907im,-0.016886522348511 - 0.22042894374016678im,-0.422250686640676 - 0.45152263203130377im,0.09483432740996839 - 0.847241090550079im,0.6002225267423148 + 0.23216590765073705im,0.007755043138895227 + 0.09220845820511259im,-0.07936821288141944 - 0.93202181125007im,0.826460421445912 - 0.6543347765196627im,0.6027692377125499 + 1.5869757999747518im,-0.05000748973462844 - 0.023904230317835666im
-1.1739091711853638 + 0.0018539199608029113im,1.4266635257008067 + 0.6903721534819071im,0.014056473441850237 - 0.4097406235847685im,-1.0271118623512614 - 0.8093737952332817im,0.0778613101472824 + 0.873561113384232im,-0.633267197567778 + 0.05486166090989573im,0.061582677305144266 + 2.40326238214369im,1.3912196065916784 + 0.11878842498129552im,2.2191908988122795 - 1.3853147179495597im,-0.3263438252442613 + 0.2742358369612535im
-422.4804178770704 - 1.9133282773311866e-56im,445.4131280673886 + 2.02969866302719e-56im,0.002360628755274196 - 1.0662573021713678e-61im,0.4315258447736641 + 1.514581037719671e-60im,9.41652286933168 + 2.081598610444552e-58im,-21.684542061662686 - 4.9749117761951165e-58im,-67741.30869514884 - 6.253522987959328e-54im,47570.24894846799 + 4.4106342651613074e-54im,7924.77378180872 + 7.507843904189464e-55im,-4.4408207304902185e-19 + 6.787125518135399e-64im
0.5853490438100435 - 1.017562123962462im,-1.3112115858311044 + 0.8903407791686183im,-0.3618740257078119 + 0.19269704870412063im,-0.18738233665381554 + 1.2941918629411788im,0.7175954608753221 - 0.5042104292516016im,0.36414519082566643 + 0.520994650022127im,0.061582677305144266 + 2.40326238214369im,1.3912196065916784 + 0.11878842498129552im,2.2191908988122795 - 1.3853147179495597im,-0.07432328881440238 - 0.41973996151034637im
211.2402089385352 - 365.87877448300827im,-222.7065640336943 + 385.7390840854501im,-0.001180314377637098 - 0.0020443644709714926im,-0.21576292238683206 - 0.3737123439635335im,-4.70826143466584 - 8.154948020158368im,10.842271030831343 + 18.779364294832074im,-67741.30869514884 - 3.2580063524952595e-18im,47570.24894846799 + 2.2944534354342894e-18im,7924.77378180872 + 3.864720170745754e-19im,2.2204103652451083e-19 - 3.845863566257098e-19im
0.5885601273753203 + 1.015708204001659im,-0.11545193986970224 - 1.5807129326505254im,0.34781755226596167 + 0.21704357488064782im,1.214494199005077 - 0.48481806770789715im,-0.7954567710226045 - 0.36935068413263034im,0.2691220067421116 - 0.5758563109320227im,0.061582677305144266 + 2.40326238214369im,1.3912196065916784 + 0.11878842498129552im,2.2191908988122795 - 1.3853147179495597im,0.4006671140586637 + 0.14550412454909292im
211.2402089385352 + 365.87877448300827im,-222.7065640336943 - 385.7390840854501im,-0.001180314377637098 + 0.0020443644709714926im,-0.21576292238683206 + 0.3737123439635335im,-4.70826143466584 + 8.154948020158368im,10.842271030831343 - 18.779364294832074im,-67741.30869514884 + 4.593535377945498e-23im,47570.24894846799 - 3.2449200454332974e-23im,7924.77378180872 - 5.495644852594593e-24im,2.2204103652451093e-19 + 3.8458635662570977e-19im
-2.7125788547737093 + 1.410508239718308im,1.7772780385849174 - 1.618653208891658im,-0.01482396604823029 + 0.24362922892504899im,-0.9982998738544848 + 2.9456921522759307im,3.853104414808042 - 0.45595702867126625im,0.35804193570892157 - 3.4449508740544155im,-5.970074062537054 - 9.520156466850038im,-16.917903422662857 + 9.694401173619896im,10.737473750867023 + 9.781306357494309im,0.0011543184061541438 + 0.00034269961217924715im
0.13475345954352919 - 3.0544163178616857im,0.5131557795249169 + 2.3484945354485474im,0.21840108437762212 - 0.10897668327991905im,3.0501941725266573 - 0.6082930247851809im,-2.3214225772674073 - 3.1089077923221047im,-3.1624359395749906 + 1.4124020250831268im,-5.970074062537054 - 9.520156466850038im,-16.917903422662857 + 9.694401173619896im,10.737473750867023 + 9.781306357494309im,-0.000873945773091375 + 0.0008283192576958285im
2.57782539523018 + 1.6439080781433777im,-2.2904338181098343 - 0.7298413265568892im,-0.20357711832939185 - 0.13465254564512993im,-2.0518942986721727 - 2.3373991274907495im,-1.531681837540635 + 3.564864820993371im,2.804394003866069 + 2.0325488489712886im,-5.970074062537054 - 9.520156466850038im,-16.917903422662857 + 9.694401173619896im,10.737473750867023 + 9.781306357494309im,-0.0002803726330627689 - 0.0011710188698750756im
-1.2668079155217464 + 0.23449878641228042im,2.0890792405169716 - 0.36196015122209657im,0.367908431508554 + 0.7415863969858025im,-0.493503283717789 + 1.1521606922205427im,-0.164437657990766 - 0.11243011163157683im,-1.6532268735664861 + 0.0438630106614952im,1.0953235211666794 + 0.6204421466952258im,-0.07404878978468288 + 1.7662459688778076im,-0.5947207345393053 + 0.2969507190281685im,7.804968369954461 + 14.409070421644183im
0.43032205157121717 - 1.2143372297631836im,-0.7310729341424931 + 1.9901757684174468im,0.4582784431363996 - 0.6894112464457962im,1.2445520705637483 - 0.14869396555962675im,-0.015148503827882834 + 0.19862224497460898im,0.8645999183025656 + 1.4098049653969535im,1.0953235211666794 + 0.6204421466952258im,-0.07404878978468288 + 1.7662459688778076im,-0.5947207345393053 + 0.2969507190281685im,-16.381105215040044 - 0.44523432670750673im
0.8364858639505292 + 0.9798384433509032im,-1.3580063063744783 - 1.6282156171953504im,-0.8261868746449537 - 0.052175150540006265im,-0.7510487868459593 - 1.003466726660916im,0.17958616181864884 - 0.08619213334303215im,0.7886269552639206 - 1.4536679760584488im,1.0953235211666794 + 0.6204421466952258im,-0.07404878978468288 + 1.7662459688778076im,-0.5947207345393053 + 0.2969507190281685im,8.576136845085584 - 13.963836094936676im
19.313114498233727 - 33.45129556333592im,-20.179810539697872 + 34.95245714187064im,0.47567350074156106 + 0.8238906710985358im,-6.3361181726776525 - 10.974478597838168im,-6.217615633191463 - 10.76922617862215im,-5.766603176745909 - 9.988049689212005im,1.2928364547960958 - 2.5100715092304737e-30im,-19.488563435784283 + 1.0143151118582356e-29im,-20.21242127456296 + 7.029115896082272e-30im,-1.3114727985362173e-9 + 2.2715375198092707e-9im
-38.626228996467454 - 1.0478507375691965e-65im,40.359621079395744 + 1.0293047068157594e-65im,-0.9513470014831221 - 1.1967985470577383e-67im,12.672236345355305 + 1.7873737138625012e-66im,12.435231266382926 + 1.9913800521503094e-66im,11.533206353491819 + 1.8059197446159383e-66im,1.2928364547960958 - 6.780892494225442e-68im,-19.488563435784283 - 2.0748371905407763e-67im,-20.21242127456296 - 9.435293145811128e-67im,2.6229455970724347e-9 + 3.254232577012085e-62im
19.313114498233727 + 33.45129556333592im,-20.179810539697872 - 34.95245714187064im,0.47567350074156106 - 0.8238906710985358im,-6.3361181726776525 + 10.974478597838168im,-6.217615633191463 + 10.76922617862215im,-5.766603176745909 + 9.988049689212005im,1.2928364547960958 + 1.954091462859354e-30im,-19.488563435784283 - 8.09702399426229e-30im,-20.21242127456296 - 5.509673511791336e-30im,-1.3114727985362173e-9 - 2.2715375198092707e-9im
-1.7799823379144175 + 0.8904374232118091im,1.1724340848268313 - 1.1325102913768343im,-0.07993862507803408 + 0.426809760827389im,-0.1322631954014275 + 1.0613592084816132im,-0.9289479400935692 + 0.5515452523562291im,1.1537890514834483 - 0.4384019063545682im,-2.052004748923709 - 1.0034915279533037im,-2.32956687827737 + 0.17349904321593826im,-0.8211558735706147 - 0.1143124608034728im,30.005971531961965 + 10.293904916096327im
0.1188497399754268 - 1.9867286345274071im,0.39456563996623967 + 1.5816128474112126im,0.40959740799869626 - 0.14417600035251718im,0.9852956347863351 - 0.4161363170374653im,0.942126169923978 + 0.5287198887361412im,-0.9565617137123067 - 0.7800096760157337im,-2.052004748923709 - 1.0034915279533037im,-2.32956687827737 + 0.17349904321593826im,-0.8211558735706147 - 0.1143124608034728im,-23.91776892746192 + 20.838981153863568im
1.6611325979389908 + 1.096291211315598im,-1.566999724793071 - 0.44910255603437815im,-0.3296587829206622 - 0.2826337604748718im,-0.8530324393849076 - 0.645222891444148im,-0.013178229830408833 - 1.0802651410923703im,-0.19722733777114154 + 1.218411582370302im,-2.052004748923709 - 1.0034915279533037im,-2.32956687827737 + 0.17349904321593826im,-0.8211558735706147 - 0.1143124608034728im,-6.088202604500043 - 31.132886069959895im
50.539235286912586 - 53.02397498428284im,12.829218861192297 - 82.76076447753763im,-0.010092251213863947 - 0.01020306655164677im,-3.4014244721550377 - 3.6473559158263202im,-7.584654772088978 - 9.692958483119948im,-8.382269341280509 - 5.15009302918601im,6012.89113057096 + 2436.5403097212916im,5526.4499431943295 - 1299.6456476838193im,1453.5239021205884 + 1076.4678954176225im,2.298687875436479e-19 + 1.235085777686517e-19im
20.650491702563446 + 70.28024913844668im,65.25831504357235 + 52.490811683271296im,-0.0037899892232974557 + 0.013841679208403871im,-1.4579906436715262 + 4.769397959853491im,-4.602020898165237 + 11.414982953123893im,-0.2689767244879372 + 9.83430470550535im,6012.891130570985 + 2436.54030972126im,5526.449943194308 - 1299.6456476838653im,1453.523902120602 + 1076.4678954176125im,-2.2189595970477087e-19 + 1.3731792066559515e-19im
-71.18972698947576 - 17.256274154163673im,-78.0875339047642 + 30.269952794265855im,0.013882240437161388 - 0.0036386126567571125im,4.859415115826565 - 1.122042044027176im,12.186675670254225 - 1.722024470003955im,8.651246065768465 - 4.6842116763193635im,6012.891130570953 + 2436.5403097212666im,5526.449943194302 - 1299.6456476838302im,1453.523902120588 + 1076.467895417613im,-7.972827838883143e-21 - 2.608264984342587e-19im
-2.372967733344675 - 4.805237412591368im,3.857950423086084 + 5.289024463517072im,8.81215107190418 + 4.460039969130035im,-27.078104796611917 - 17.612593982424357im,26.11967416369749 + 25.79371540075703im,-8.930321620716251 - 13.301654785169907im,-3.233508068705942 - 0.3494869523884824im,3.4021478153455846 + 0.929667621014889im,-1.2418301996786394 - 0.5083920120375162im,3.5905677210080764e-8 - 3.8249747282844055e-7im
5.3479415371918675 + 0.3475683668584177im,-6.5094047581861885 + 0.6965708411749358im,-0.543567620791517 - 9.86156667482031im,-1.713901417014469 + 32.25662363141536im,9.278175713192757 - 35.5171590647126im,-7.054410145969854 + 14.384712780090648im,-3.233508068705942 - 0.3494869523884824im,3.4021478153455846 + 0.929667621014889im,-1.2418301996786394 - 0.5083920120375162im,3.132996897477372e-7 + 2.2234396501823419e-7im
-2.974973803847193 + 4.45766904573295im,2.6514543351001043 - 5.985595304692008im,-8.268583451112663 + 5.401526705690275im,28.792006213626387 - 14.644029648991003im,-35.39784987689025 + 9.723443663955573im,15.984731766686107 - 1.0830579949207406im,-3.233508068705942 - 0.3494869523884824im,3.4021478153455846 + 0.929667621014889im,-1.2418301996786394 - 0.5083920120375162im,-3.4920536695781793e-7 + 1.6015350781020637e-7im
-1.4350459028210105 + 0.13709343818637545im,0.6912077158059569 - 0.04373546312308838im,-2.5843530787588525 - 2.2725950053082764im,-0.34377039512873403 - 0.9771658399812923im,-2.392621008610435 + 2.611212295263432im,-0.7422948050154059 + 0.437003790130932im,0.25928187394915025 + 0.09992839422047822im,-0.04539714271427416 - 0.9519715636022013im,0.19834708738979426 - 0.3252373718466185im,-0.11407909834997441 + 0.1065837385025249im
0.836249351572058 + 1.1742394883465823im,-0.38347988001385047 - 0.5767357096182291im,3.260301546490025 - 1.101817915899554im,1.0181356386985259 + 0.19086902474014822im,-1.065065678067187 - 3.377676722716699im,-0.007308981295767464 - 0.861348053306024im,0.25928187394915025 + 0.09992839422047822im,-0.04539714271427416 - 0.9519715636022013im,0.19834708738979426 - 0.3252373718466185im,0.14934377434849136 + 0.045503527960638834im
5.859999968113469 - 10.149817677124526im,2.236792692539174 - 3.8742385894766374im,-0.05929483018680154 - 0.102701658509709im,-2.296076875284201 - 3.976921806076226im,-1.8669555596197906 - 3.233661884734664im,-0.7241236799788687 - 1.2542190046871473im,116.64485622307814 + 3.792914857292179e-14im,88.8533485593523 + 2.5609066501155415e-14im,-22.327761739846714 - 9.979594401780364e-15im,3.351840742534167e-11 - 5.8055584649485914e-11im
-11.719999936226944 + 2.69630192214213e-32im,-4.473585385078351 + 9.051870738620009e-33im,0.11858966037360294 + 3.550933334963966e-34im,4.592153750568403 - 4.525935369310004e-33im,3.7339111192395835 - 2.6963019221421302e-33im,1.4482473599577388 - 9.599557066555129e-34im,116.6448562230783 - 5.300159206953673e-31im,88.85334855935245 - 3.821045009664276e-31im,-22.327761739846746 + 1.0477058897466563e-31im,-6.703681485068307e-11 + 5.0222536961401444e-42im
0.5987965512489525 - 1.3113329265329576im,-0.3077278357921064 + 0.6204711727413175im,-0.6759484677311723 + 3.3744129212078304im,-0.6743652435697918 + 0.786296815241144im,3.457686686677622 + 0.7664644274532669im,0.7496037863111734 + 0.4243442631750921im,0.25928187394915025 + 0.09992839422047822im,-0.04539714271427416 - 0.9519715636022013im,0.19834708738979426 - 0.3252373718466185im,-0.03526467599851694 - 0.15208726646316373im
5.859999968113461 + 10.14981767712452im,2.236792692539171 + 3.8742385894766374im,-0.059294830186801546 + 0.10270165850970912im,-2.296076875284201 + 3.976921806076224im,-1.8669555596197906 + 3.233661884734663im,-0.7241236799788694 + 1.254219004687147im,116.64485622307792 + 5.6089405218680135e-14im,88.85334855935216 + 4.1726160392973186e-14im,-22.327761739846675 - 1.4418367039623012e-15im,3.351840742534214e-11 + 5.805558464948615e-11im
3.2047474274603605e-31 + 0.0im,-5.464101615137754 - 2.465190328815662e-31im,-0.14942924536134225 - 0.14942924536134225im,-2.465190328815662e-32 - 4.098076211353316im,-2.897777478867205 + 2.897777478867205im,-3.366025403784439 - 9.860761315262648e-32im,-11.262940516245283 - 11.262940516245283im,-8.874685183736383e-31 - 19.392304845413264im,-13.712430259028462 + 13.712430259028462im,1.266865147827475e-7 - 8.816207631167156e-39im
2.9582283945787943e-31 + 9.860761315262648e-32im,2.732050807568877 + 4.732050807568878im,0.2041241452319315 - 0.05469489987058925im,3.549038105676658 + 2.049038105676658im,-1.0606601717798212 - 3.958437650647026im,1.6830127018922194 - 2.915063509461097im,-11.262940516245283 - 11.262940516245283im,-1.1832913578315177e-30 - 19.392304845413264im,-13.712430259028462 + 13.712430259028462im,-6.334325739137375e-8 - 1.0971374011877216e-7im
0.0 - 2.2803010541544873e-31im,2.732050807568877 - 4.732050807568878im,-0.05469489987058925 + 0.2041241452319315im,-3.549038105676658 + 2.049038105676658im,3.958437650647026 + 1.0606601717798212im,1.6830127018922194 + 2.915063509461097im,-11.262940516245283 - 11.262940516245283im,-1.7749370367472766e-30 - 19.392304845413264im,-13.712430259028462 + 13.712430259028462im,-6.334325739137375e-8 + 1.0971374011877216e-7im
-1.0633927105552552 - 2.1550334321037288im,-1.6495863438942386 + 0.2113201498470987im,0.2553204277245848 + 0.10170499260175966im,-0.10775021965501877 - 3.1903649895838293im,2.5588888699200294 - 1.278727376847062im,-0.1764472334310948 + 1.6503037302434618im,-1.4592818440654118 + 7.611388681904091im,-0.04729643735652611 - 9.551904003490215im,11.196013356471108 + 2.423542425478673im,-1.4722443890102864e-5 - 7.638828828470935e-6im
-1.3346173429289676 + 1.998441817591908im,1.0078017900462402 + 1.3229236046247546im,-0.2157393211471246 + 0.17026148021371929im,2.8168122381515808 + 1.5018680673073155im,-0.1720340420958221 + 2.85542645523553im,-1.3409813376355115 - 0.9779596517005408im,-1.4592818440654158 + 7.611388681904093im,-0.04729643735652374 - 9.551904003490211im,11.196013356471108 + 2.423542425478671im,7.458021244346978e-7 + 1.6569424828855542e-5im
2.3980100534842244 + 0.1565916145118198im,0.6417845538479985 - 1.5342437544718515im,-0.03958110657746018 - 0.2719664728154789im,-2.709062018496563 + 1.6884969222765136im,-2.3868548278242083 - 1.5766990783884687im,1.517428571066605 - 0.67234407854292im,-1.4592818440654165 + 7.611388681904094im,-0.04729643735652131 - 9.551904003490217im,11.19601335647111 + 2.4235424254786753im,1.3976641765668163e-5 - 8.930596000384642e-6im
-2.0169975796860555 - 3.4681606902370787im,1.6489191649021937 + 4.702548976077354im,0.8627259950499288 + 0.05284847388645365im,-3.125961381301935 - 2.433403527460545im,-0.008195991430934513 + 2.529820156222208im,3.4081905630207627 - 0.5529346802096727im,-3.207397009065137 - 1.0687141571265601im,-0.6654323608195871 + 3.7427842147781525im,0.40027185643918683 - 3.247494188883828im,4.617544013576547e-5 - 0.00015652769398205043im
2.8750135256433973 + 5.487778056566148im,-4.276782556029531 - 3.524280909324553im,-0.16014361340604688 + 0.007313257171423388im,0.47760272870194526 - 7.2799526940821275im,6.428786507570649 + 14.874674031882051im,-7.805541581989555 - 5.381996029671786im,44.45592811355283 - 18.010804667600194im,-71.07802019998046 + 47.894938226853995im,40.47218843151152 - 37.83445575475643im,-9.796002564927415e-7 - 1.4621078528747528e-7im
4.012014051994911 - 0.012690798261312378im,-4.8969864582745855 - 0.9232686024463553im,-0.385594876588057 - 0.773566865161673im,-0.5444085817885279 + 3.9238637311868425im,2.1949865180098165 - 1.257812141322715im,-2.1829507612053827 - 2.6751122684095328im,-3.207397009065137 - 1.0687141571265601im,-0.6654323608195871 + 3.7427842147781525im,0.40027185643918683 - 3.247494188883828im,0.00011246923931636952 + 0.00011825295117952568im
-6.190061970138779 - 0.25405427885202836im,5.1905080755623505 - 1.9416618853214416im,0.08640527319788482 + 0.1350318088777591im,-6.543425335775059 + 3.226360251068412im,9.667452330837232 - 13.004829447003848im,-0.7581744937679767 + 9.450795315134624im,44.45592811355283 - 18.010804667600194im,-71.07802019998046 + 47.894938226853995im,40.47218843151152 - 37.83445575475643im,6.164223826125965e-7 - 7.752533150327286e-7im
-1.9950164723088557 + 3.480851488498391im,3.248067293372392 - 3.7792803736309986im,-0.4771311184618718 + 0.7207183912752193im,3.6703699630904634 - 1.4904602037262977im,-2.186790526578882 - 1.2720080148994928im,-1.22523980181538 + 3.2280469486192054im,-3.207397009065137 - 1.0687141571265601im,-0.6654323608195871 + 3.7427842147781525im,0.40027185643918683 - 3.247494188883828im,-0.00015864467945213498 + 3.827474280252474e-5im
3.315048444495382 - 5.233723777714119im,-0.9137255195328192 + 5.465942794645994im,0.07373834020816206 - 0.14234506604918248im,6.065822607073114 + 4.053592443013716im,-16.09623883840788 - 1.8698445848782026im,8.563716075757531 - 4.068799285462837im,44.45592811355283 - 18.010804667600194im,-71.07802019998046 + 47.894938226853995im,40.47218843151152 - 37.83445575475643im,3.6317787388014517e-7 + 9.214641003202039e-7im
2.9553536053247225 - 1.581288211964185im,-4.091448397135428 - 0.9447483036311011im,-0.017592255996823562 - 0.2900838450812362im,-0.12871865652571884 + 2.7094602880351846im,-0.7424626767925427 + 0.48183006317407373im,-1.9437859120340535 + 1.313151905226451im,0.5992520034798328 + 7.56482889320383im,6.133216021067098 + 4.403035405218632im,-7.376077290870377 - 9.192792161709587im,-7.741570070769718e-6 - 3.941560943355798e-6im
-0.10824104039650577 + 3.35005540535923im,2.8639002296945013 - 3.0709240983768504im,-0.24242385106940842 + 0.16027726314374646im,2.410820768246431 - 1.243256517525315im,0.78850841341208 + 0.40207650787710025im,2.1091158649710677 + 1.0267920267265689im,0.599252003479832 + 7.5648288932038215im,6.133216021067095 + 4.403035405218627im,-7.376077290870365 - 9.192792161709582im,7.284276942895727e-6 - 4.733615874786162e-6im
-2.8471125649282145 - 1.768767193395051im,1.2275481674409203 + 4.015672402007958im,0.2600161070662321 + 0.12980658193748976im,-2.2821021117207123 - 1.4662037705098716im,-0.046045736619537835 - 0.883906571051173im,-0.16532995293701347 - 2.3399439319530195im,0.5992520034798174 + 7.564828893203821im,6.1332160210670885 + 4.403035405218634im,-7.376077290870355 - 9.192792161709603im,4.57293127874279e-7 + 8.675176818141847e-6im
-0.4003716600040186 + 1.6139226272809675im,0.5125601764752129 + 3.6230260734593687im,-0.18337023634385785 + 0.12758183712352683im,2.764001163379823 + 2.045693445470564im,0.3259617228305334 + 1.1260873195866126im,-1.202702707605599 + 3.3547164315706657im,-1.3684306661052226 + 13.12779343769797im,6.622878140805892 - 7.9764005584945386im,-15.094917726590504 - 6.281583413652079im,1.3651004803293642e-6 - 1.3920803039748264e-7im
1.5978838249698508 - 0.4602292851216577im,2.8813525299515916 - 2.2554031705254567im,-0.01880399383853382 - 0.22259420153350085im,-3.1536230738227355 + 1.3708485008413887im,-1.1382010870567996 - 0.2807525271607198im,-2.3039182984304794 - 2.71892931377211im,-1.368430666105214 + 13.12779343769797im,6.622878140805881 - 7.9764005584945386im,-15.09491772659052 - 6.281583413652081im,-8.031079308996916e-7 - 1.1126076794848325e-6im
-1.1975121649658331 - 1.1536933421593092im,-3.3939127064268084 - 1.3676229029339169im,0.20217423018239164 + 0.09501236440997404im,0.3896219104429128 - 3.4165419463119524im,0.8122393642262677 - 0.845334792425892im,3.506621006036078 - 0.6357871177985561im,-1.3684306661052157 + 13.127793437697981im,6.6228781408058826 - 7.97640055849455im,-15.094917726590506 - 6.281583413652085im,-5.619925494296644e-7 + 1.2518157098823008e-6im
1.8866192453837916 - 0.47016776752111233im,-0.3934937338720652 - 0.5148939105904458im,0.0693526867987392 - 0.45783850292335915im,-0.5353310752799185 + 0.9157511519784843im,-0.15844859938700348 - 0.15257967692189223im,0.4610371896007952 - 0.21252861648040003im,1.919607653954199 + 0.6078721486321451im,-1.2742946591605975 - 1.455013756587008im,2.9041151674629586 + 0.3282515307710862im,0.0013139077613691097 - 0.0046000276281289035im
-0.5361323919779963 + 1.8689440775315476im,0.642658073761272 - 0.08332861446797918im,-0.4311761177616345 + 0.16885806287326574im,1.0607292987981913 + 0.005734734638406932im,-0.052913576622079087 + 0.21351035072415475im,-0.4145737757035844 - 0.29300561004347153im,1.9196076539541993 + 0.6078721486321458im,-1.2742946591605988 - 1.4550137565870085im,2.90411516746296 + 0.32825153077108593im,0.0033267869033853396 + 0.0034378913136396405im
-1.350486853405795 - 1.398776310010435im,-0.2491643398892069 + 0.5982225250584242im,0.3618234309628954 + 0.2889804400500934im,-0.5253982235182723 - 0.9214858866168916im,0.21136217600908275 - 0.060930673802262504im,-0.04646341389721123 + 0.5055342265238714im,1.919607653954199 + 0.6078721486321454im,-1.2742946591605975 - 1.4550137565870085im,2.904115167462959 + 0.32825153077108665im,-0.004640694664754458 + 0.001162136314489268im
1.7392125759085693 + 0.5245170150802161im,-1.8843056666417317 + 0.6344912334534706im,4.174531983597082 - 1.3207515309052078im,-5.406911515737271 + 6.811301864124729im,3.7294606461418383 - 8.386456168852977im,0.3320064289190405 + 5.215662067651029im,-1.6685112545143064 + 1.082660501418674im,1.268994410724767 - 1.493995977437627im,-0.18042502747509914 + 0.9843111152352023im,0.002220784398023109 - 0.006250013453390967im
-1.3238513477309373 + 1.2439437657780843im,0.3926673066716375 - 1.9491021925334469im,-3.2310703696496392 - 2.9548749812531128im,8.602216205044954 + 1.2768717965807364im,-9.127614413022314 + 0.9634204224533299im,4.350892633681142 - 2.8953570354891562im,-1.6685112545143064 + 1.082660501418674im,1.268994410724767 - 1.493995977437627im,-0.18042502747509914 + 0.9843111152352023im,0.0043022782256195305 + 0.005048262431711628im
0.19210254708802604 - 0.15540500677899072im,1.0047167555314727 + 0.10210529094163592im,0.8237094203265014 + 0.23029865317817333im,0.7302908899580602 + 0.7322938190033836im,-0.09454865544328646 + 0.5882204764458446im,-1.0550362186046174 + 0.08245549641042382im,0.6504492616349569 + 1.0893478367975922im,0.2337411011818178 + 1.32396035142385im,-0.2817364628714037 + 0.34440909802176206im,12.024815200842475 - 34.91549715906847im
0.038533410201885845 + 0.24406818929942226im,-0.5907841535819942 + 0.8190575884273168im,-0.21241022605361073 - 0.8285026099283909im,0.2690396053122238 - 0.998597372357718im,0.5566882033499306 - 0.2122287007153744im,0.5989266638753924 + 0.8724604190190592im,0.6504492616349569 + 1.0893478367975922im,0.2337411011818178 + 1.32396035142385im,-0.2817364628714037 + 0.34440909802176206im,24.225299925095456 + 27.871544019277096im
1.8312832088012023 - 0.7798705762640542im,-7.61207684104356 + 0.7957764689718604im,0.1392671991473758 - 0.18495472943913602im,1.051331742116768 + 4.463329661360576im,4.220390150283712 + 1.3644822832405052im,-0.17430688471058794 + 4.896926417057025im,10.902748610932864 - 6.658631781119302im,24.280297829205313 + 17.931142021944108im,7.121416040823899 - 17.396396510448273im,2.8582101077017225e-8 + 6.474446423088828e-8im
-0.24025387369192067 + 1.9758730684777517im,3.1168757826582687 - 6.990140154388854im,-0.22980909381805725 - 0.028131567655965944im,3.33969100114447 - 3.14214482715836im,-0.9285187548417847 - 4.337206225647572im,4.328016119989788 - 2.2975090183146176im,10.902748610932866 - 6.658631781119303im,24.28029782920532 + 17.931142021944105im,7.1214160408238945 - 17.396396510448277im,-7.036140131687102e-8 - 7.619406489212958e-9im
-0.415361228177632 - 1.7684607808583004im,1.4916383599700942 + 1.3146109590799764im,-0.9434616139474429 + 4.27562651215832im,-3.195304689307683 - 8.088173660705467im,5.398153766880477 + 7.4230357463996475im,-4.682899062600183 - 2.320305032161873im,-1.6685112545143064 + 1.082660501418674im,1.268994410724767 - 1.493995977437627im,-0.18042502747509914 + 0.9843111152352023im,-0.00652306262364264 + 0.0012017510216793385im
-0.2306359572899119 - 0.08866318252043154im,-0.4139326019494785 - 0.9211628793689527im,-0.6112991942728906 + 0.5982039567502175im,-0.9993304952702841 + 0.2663035533543343im,-0.46213954790664424 - 0.3759917757304702im,0.4561095547292251 - 0.9549159154294831im,0.6504492616349569 + 1.0893478367975922im,0.2337411011818178 + 1.32396035142385im,-0.2817364628714037 + 0.34440909802176206im,-36.25011512593793 + 7.043953139791374im
-1.5910293351092826 - 1.1960024922136965im,4.495201058385293 + 6.194363685416987im,0.09054189467068147 + 0.21308629709510196im,-4.391022743261239 - 1.3211848342022148im,-3.291871395441924 + 2.9727239424070655im,-4.153709235279201 - 2.5994173987424043im,10.90274861093286 - 6.658631781119302im,24.280297829205324 + 17.93114202194409im,7.121416040823885 - 17.396396510448263im,4.1779300239854256e-8 - 5.7125057741675434e-8im
2.8972493526902787 + 0.44711936255924695im,-1.8165198622474954 - 1.360139857312798im,-0.22000669158677816 - 0.245731726263082im,-1.7551064061992552 + 0.2755328266703072im,1.8148778956175406 + 0.41228566414270507im,-0.8529806601108135 + 0.08440015707486104im,-5.0185293784548355 - 0.9441396741963659im,7.74308242372754 - 0.5790659232904032im,-6.311595340181262 - 2.298604700130308im,0.0006669645154412497 + 0.009277519119139235im
-1.835841402845352 + 2.2855318592481786im,2.0861756002563725 - 0.8930824185289411im,-0.10280657166624366 + 0.313397247048259im,1.1161716305726481 + 1.3822003207782114im,-0.5503890890450487 - 1.7778731944429855im,0.49958301016563333 + 0.6965028420553537im,-5.0185293784548355 - 0.9441396741963659im,7.74308242372754 - 0.5790659232904032im,-6.311595340181262 - 2.298604700130308im,-0.00836804949899103 - 0.004061151345774717im
